category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,14/327,79/9387,0.17721518987341772,5.087214028568111,6.930471646027668,4.706080570474875e-07,7.263842019578368e-05,5.105985736121848e-05,3553/7097/2209/2214/7043/2212/2353/4792/5743/3552/3127/1378/3123/4688,14
Organismal Systems,Development and regeneration,hsa04380,Osteoclast differentiation,19/327,143/9387,0.13286713286713286,3.814139988451915,6.442194018091135,4.875061758106287e-07,7.263842019578368e-05,5.105985736121848e-05,9021/3553/3690/2209/2214/2212/2353/2355/11025/29760/4792/126014/7046/3552/8061/799/1435/4688/3726,19
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,15/327,100/9387,0.15,4.305963302752294,6.314084041281082,1.693820218500475e-06,0.00016825280837104719,0.00011827025385319106,3553/3566/929/3690/2209/952/966/3552/3127/928/948/1435/1378/3123/1438,15
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,14/327,97/9387,0.14432989690721648,4.143194930483306,5.911522922138318,5.9994045176096705e-06,0.00044695563656192044,0.00031417934184324326,51655/2982/23236/5592/6261/2353/5187/818/2890/109/5332/2784/117/2791,14
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,26/327,298/9387,0.087248322147651,2.5045871559633026,5.014382774142013,1.4484313090026267e-05,0.0008632650601655656,0.000606816485245311,1524/3553/6347/6387/3566/115650/8793/7043/246778/353500/1271/3556/57007/650/53342/1230/7046/5008/3552/6351/90865/8797/9180/1435/1438/51330,26
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,25/327,300/9387,0.08333333333333333,2.3922018348623855,4.655888997017521,4.58681126480066e-05,0.0022516601765904987,0.0015827635999346844,3553/1946/3479/4616/2261/929/785/1647/7043/26281/5159/5880/3310/1843/2353/3556/1847/7046/3552/5801/1845/10368/1969/1435/774,25
NA_character_,NA_character_,hsa04082,Neuroactive ligand signaling,19/327,199/9387,0.09547738693467336,2.740814162555899,4.71539966875637,6.331057013755666e-05,0.0022516601765904987,0.0015827635999346844,2560/2565/6506/23236/3356/53829/64805/2890/2557/2555/3274/109/5332/2784/153/2899/2791/1129/3354,19
Environmental Information Processing,Signal transduction,hsa04064,NF-kappa B signaling pathway,13/327,105/9387,0.12380952380952381,3.5541284403669726,4.999961415561463,6.800315969568619e-05,0.0022516601765904987,0.0015827635999346844,3553/4616/6387/929/115650/1647/84433/597/29760/4792/5743/6351/3383,13
Human Diseases,Cardiovascular disease,hsa05414,Dilated cardiomyopathy,13/327,105/9387,0.12380952380952381,3.5541284403669726,4.999961415561463,6.800315969568619e-05,0.0022516601765904987,0.0015827635999346844,3479/785/3690/7043/6640/137868/4000/6444/109/3691/10368/153/284217,13
Human Diseases,Cardiovascular disease,hsa05412,Arrhythmogenic right ventricular cardiomyopathy,11/327,86/9387,0.12790697674418605,3.6717516535097077,4.728577840963959,0.00018329594317916158,0.005204712771983907,0.0036585582537082212,785/3690/6640/2697/137868/4000/6444/6934/3691/10368/284217,11
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,12/327,101/9387,0.1188118811881188,3.410664002180034,4.627357807917037,0.00019212027010678852,0.005204712771983907,0.0036585582537082212,5292/3553/6347/7056/23236/7043/1282/1284/7046/3552/5332/3383,12
Human Diseases,Infectious disease: viral,hsa05163,Human cytomegalovirus infection,19/327,226/9387,0.084070796460177,2.4133717626045303,4.08591418292342,0.00033689675963821246,0.007334358737080707,0.00515555418113409,1026/3553/6347/6387/23236/3690/5880/1978/5829/4792/5743/1230/109/6351/5332/6891/6890/2784/2791,19
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,26/327,362/9387,0.0718232044198895,2.0617872167874705,3.913976599634496,0.0003649711085448575,0.007334358737080707,0.00515555418113409,1026/1946/3479/2261/3566/7097/3718/3690/26281/5159/1978/1282/57121/54541/1284/3910/5008/2784/3691/9180/1969/1435/284217/4170/2791/1129,26
Environmental Information Processing,Signal transduction,hsa04310,Wnt signaling pathway,16/327,174/9387,0.09195402298850575,2.639670990192977,4.147447086747043,0.00036656752489848973,0.007334358737080707,0.00515555418113409,7088/11197/23236/54894/5880/7476/818/2487/90665/4919/144165/6934/5332/4163/7855/8061,16
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,15/327,157/9387,0.09554140127388536,2.742651785192544,4.18320977495601,0.00036962599446180256,0.007334358737080707,0.00515555418113409,1524/3690/5627/64805/114786/818/1847/51454/5743/1051/8754/4240/948/240/9023,15
Organismal Systems,Immune system,hsa04659,Th17 cell differentiation,12/327,109/9387,0.11009174311926606,3.1603400387172798,4.3098110670523555,0.0003937910731318501,0.007334358737080707,0.00515555418113409,3553/3566/3718/246778/2353/3556/4792/7046/3127/861/3123/196,12
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,11/327,95/9387,0.11578947368421053,3.32390149686142,4.324889045704064,0.0004427946624474525,0.007748777213953004,0.005446862117897025,3553/6347/6387/7097/7043/2353/3552/3127/1435/3123/3383,11
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,19/327,232/9387,0.08189655172413793,2.35095697564062,3.9582788761396053,0.0004680469458092418,0.007748777213953004,0.005446862117897025,2192/81624/50509/477/171024/3690/6640/137868/1282/4604/4000/6444/4811/1284/4001/56776/3691/284217/1290,19
Human Diseases,Cardiovascular disease,hsa05410,Hypertrophic cardiomyopathy,11/327,99/9387,0.1111111111111111,3.1896024464831805,4.160751860123702,0.000631688092262153,0.009555479819209147,0.0067168508796277655,3479/785/3690/7043/6640/137868/4000/6444/3691/10368/284217,11
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,17/327,201/9387,0.0845771144278607,2.4279063398603316,3.887626935252423,0.0006413073704167213,0.009555479819209147,0.0067168508796277655,1026/3479/4616/929/1050/2209/1647/4094/604/7403/597/8091/2120/4613/1051/2138/861,17
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,12/327,119/9387,0.10084033613445378,2.8947652455477604,3.9517178684301664,0.0008741672994674978,0.012404850249586397,0.008719764039801106,9021/3553/6347/602/3659/2353/4792/5743/1051/1435/3726/3383,12
Organismal Systems,Nervous system,hsa04727,GABAergic synapse,10/327,89/9387,0.11235955056179775,3.2254406762189465,4.007433336119409,0.0010136842801235148,0.013587707522633689,0.009551232062889806,2560/2565/2557/2555/109/2784/2752/774/2791/4905,10
Organismal Systems,Nervous system,hsa04730,Long-term depression,8/327,60/9387,0.13333333333333333,3.8275229357798164,4.174080550031405,0.0010487156812770968,0.013587707522633689,0.009551232062889806,3479/2982/23236/5592/6261/2890/5332/1392,8
Human Diseases,Substance dependence,hsa05032,Morphine addiction,10/327,91/9387,0.10989010989010989,3.1545518701482003,3.923554098684368,0.0012050131743433817,0.014962246914763656,0.010517439547997061,2560/27115/2565/5139/2557/2555/109/2784/774/2791,10
Human Diseases,Cancer: specific types,hsa05222,Small cell lung cancer,10/327,93/9387,0.10752688172043011,3.086712044983723,3.8419589081850027,0.0014248432873836174,0.016622503519946527,0.011684486755455172,1026/4616/1647/1282/1284/5915/4792/5743/3910/284217,10
Human Diseases,Cancer: specific types,hsa05217,Basal cell carcinoma,8/327,63/9387,0.12698412698412698,3.6452599388379205,4.002096437749416,0.0014502855420087573,0.016622503519946527,0.011684486755455172,1026/4616/1647/7476/650/6934/2737/7855,8
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,7/327,50/9387,0.14,4.018899082568807,4.066117932391471,0.0016063500622835174,0.0175473201867066,0.012334569823930108,3553/6347/7097/7043/948/1378/3383,7
Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,10/327,95/9387,0.10526315789473684,3.0217286335103815,3.762531257139902,0.0016762289214034692,0.0175473201867066,0.012334569823930108,3553/6347/6279/6280/2353/4792/53342/5743/1051/8061,10
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,15/327,182/9387,0.08241758241758242,2.3659139026111506,3.5350631419936502,0.001707625118840575,0.0175473201867066,0.012334569823930108,3553/7097/929/2209/2214/7043/2212/1263/2207/818/3552/3127/1051/1378/3123,15
Human Diseases,Immune disease,hsa05321,Inflammatory bowel disease,8/327,66/9387,0.12121212121212122,3.4795663052543784,3.840311849311845,0.0019652507841789956,0.01952149112284469,0.013722277405320003,3553/3566/7097/7043/4094/3552/3127/3123,8
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,13/327,149/9387,0.087248322147651,2.5045871559633026,3.5169934361866773,0.002064505111434263,0.019845887845400336,0.013950306185922525,2560/2565/23236/11343/2890/2557/2555/5743/109/5332/2784/774/2791,13
Organismal Systems,Nervous system,hsa04726,Serotonergic synapse,11/327,115/9387,0.09565217391304348,2.7458316713203033,3.5786121239409585,0.0021774658514732577,0.020277650741844712,0.014253806067209811,2560/23236/3356/1843/5743/5332/2784/240/774/2791/3354,11
Human Diseases,Cancer: specific types,hsa05221,Acute myeloid leukemia,8/327,68/9387,0.11764705882352941,3.3772261198057203,3.737578702003872,0.0023818071363647005,0.02150844020111154,0.015118967149492039,5292/929/1050/2209/1978/597/6934/861,8
Human Diseases,Substance dependence,hsa05033,Nicotine addiction,6/327,41/9387,0.14634146341463414,4.200939807563213,3.902173721605892,0.0027396157629640235,0.02401192639303762,0.016878747270273706,2560/2565/2890/2557/2555/774,6
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,8/327,70/9387,0.11428571428571428,3.2807339449541284,3.638611192254986,0.0028646019558341484,0.024213269355802498,0.017020277646784515,6640/5880/137868/6444/3127/284217/3123/3383,8
Organismal Systems,Endocrine system,hsa04921,Oxytocin signaling pathway,13/327,155/9387,0.08387096774193549,2.407635395087304,3.357052880028912,0.0029250929423117107,0.024213269355802498,0.017020277646784515,1026/29904/2982/23236/785/6261/2353/818/952/5743/109/5332/10368,13
Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,10/327,103/9387,0.0970873786407767,2.787031263917342,3.464441636350393,0.0030645927114613825,0.024682395351770053,0.017350041239852492,3553/7097/929/23236/7043/1282/1284/3910/5332/284217,10
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,18/327,254/9387,0.07086614173228346,2.034313371379036,3.1747703897453254,0.0033354440629302716,0.026156903440874235,0.018386519903687646,2261/23236/3356/26281/5159/1910/6261/818/952/10800/3274/109/80271/5332/10345/774/153/1129,18
Cellular Processes,Cellular community - eukaryotes,hsa04540,Gap junction,9/327,92/9387,0.09782608695652174,2.808236936577583,3.311117596772066,0.0046335383989122925,0.035404985714765726,0.024887291265412857,2982/23236/3356/5592/2697/5159/109/5332/153,9
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,11/327,130/9387,0.08461538461538462,2.4290049400141145,3.1168817555152595,0.005612225229903037,0.041811077962777624,0.02939033738817643,23236/1910/1282/2353/1284/4792/109/7046/5332/2784/2791,11
Environmental Information Processing,Signal transduction,hsa04630,JAK-STAT signaling pathway,13/327,168/9387,0.07738095238095238,2.221330275229358,3.034561256098558,0.005805044828221299,0.0421927648490231,0.029658637248165302,9021/1026/5292/3566/3718/5159/246778/1271/1154/5008/9180/4170/1438,13
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,10/327,116/9387,0.08620689655172414,2.474691553305916,3.0361061338717077,0.007132372224673486,0.04986572589468728,0.035052205768430836,6506/23236/2890/109/9455/5332/2784/2752/2899/2791,10
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,15/327,212/9387,0.07075471698113207,2.0311147654491952,2.884841469437956,0.00719538997809246,0.04986572589468728,0.035052205768430836,1946/3479/2261/23236/3690/2357/26281/5159/5880/57121/109/3397/5332/1969/1435,15
