"","Ctrl1","Ctrl2","Ctrl3","Ctrl4","MOR1","MOR2","MOR3","MOR4"
"ENSMUSG00000000001",11.38,11.22,9.61,13.92,10.98,13.78,13.62,13.38
"ENSMUSG00000000003",0,0,0,0,0,0,0,0
"ENSMUSG00000000028",1.15,1.29,1.19,1.66,0.78,1.61,0.94,1.24
"ENSMUSG00000000037",0.22,0.25,0.41,0.38,0.28,0.27,0.44,0.49
"ENSMUSG00000000049",0.77,0.18,0,0.07,0.78,0.48,0.55,0.06
"ENSMUSG00000000056",15.41,13.3,16.07,15,17.75,19.25,20.98,15.9
"ENSMUSG00000000058",11.34,8.15,4.35,7.87,7.86,6.97,7.12,7.01
"ENSMUSG00000000078",24.45,23.24,10.27,21.57,36.37,37.5,21.47,21.4
"ENSMUSG00000000085",11.97,17.91,37.51,20.74,15.7,20.52,18.41,19.19
"ENSMUSG00000000088",437.86,326.87,270.3,346.25,390.75,455.66,314.38,371.04
"ENSMUSG00000000093",0.11,0.02,0.06,0,0,0.02,0,0.02
"ENSMUSG00000000094",0.13,0.12,0.05,0.03,0.07,0.03,0.07,0.02
"ENSMUSG00000000103",0.02,0,0,0,0,0,0,0.1
"ENSMUSG00000000120",1.98,1.67,1.13,1.13,0.62,0.86,1.15,0.95
"ENSMUSG00000000125",0.96,0.7,0.53,1.14,0.56,0.79,0.42,0.64
"ENSMUSG00000000126",3.38,3.89,0.95,2.79,4.23,2.75,4.28,3.25
"ENSMUSG00000000127",7.91,9.32,8.98,9.42,7.11,7.33,7.25,8.95
"ENSMUSG00000000131",18.31,17.37,15.85,17.79,14.78,7.9,13.63,11.51
"ENSMUSG00000000134",11.2,14.46,14.48,12.62,12.65,13.56,12.07,13.46
"ENSMUSG00000000142",2.61,2.03,3.22,3.07,3.08,3.51,3.27,4.05
"ENSMUSG00000000148",8.53,8.62,11.55,7.53,10.15,6.9,9.03,8.76
"ENSMUSG00000000149",4.33,4.73,5.64,3.64,5.02,3.21,3.99,3.54
"ENSMUSG00000000154",0.4,0.51,0.36,0.21,0.24,0.11,0.08,0.15
"ENSMUSG00000000157",0.17,0,0,0,0,0,0,0
"ENSMUSG00000000159",0.39,0.31,0.3,0.25,0.64,0.05,0,0
"ENSMUSG00000000167",0.84,1.02,0.71,0.94,0.77,1.33,1.69,0.59
"ENSMUSG00000000168",31.59,26.72,27.87,24.51,29.03,26.34,28.86,31.11
"ENSMUSG00000000171",123.94,117.75,120.21,103.05,122.27,110.89,98.04,117.2
"ENSMUSG00000000182",0.22,0.08,0.08,0.18,0.09,0.12,0.2,0
"ENSMUSG00000000183",0,0,0,0.03,0,0,0,0
"ENSMUSG00000000184",42.52,46.05,25.2,68.93,79.36,63.85,81.81,55.48
"ENSMUSG00000000194",7.4,7.19,10.36,7.67,8.55,7.14,8.37,8.24
"ENSMUSG00000000197",9.33,10.29,12.65,12.14,12.3,13.26,12.73,10.66
