category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease - COVID-19,19/225,238/9389,0.07983193277310924,3.3312978524743224,5.708042837526581,4.106907756844914e-06,0.0011827894339713353,0.0008905505241158446,8829/6158/5579/6176/6772/6209/6168/8503/6134/23521/6202/6205/1536/7187/6137/2197/6141/5336/6194,19
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,12/225,110/9389,0.10909090909090909,4.552242424242424,5.871967067436145,1.1867776612193802e-05,0.0017089598321559075,0.001286716832690486,2034/3099/5579/2026/7422/2597/5163/8503/1536/5336/3480/6194,12
Organismal Systems,Nervous system,hsa04730,Long-term depression,8/225,60/9389,0.13333333333333333,5.563851851851851,5.556801409992051,8.398202247257e-05,0.00806227415736672,0.006070279519069972,23236/8605/5579/3708/10672/2770/6261/3480,8
Environmental Information Processing,Signal transduction,hsa04371,Apelin signaling pathway,12/225,140/9389,0.08571428571428572,3.576761904761905,4.813114336580859,0.0001307263599703857,0.008415333897214149,0.006336106662376151,6696/23236/4638/3708/4088/10672/6547/4205/2770/999/6261/6194,12
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,10/225,101/9389,0.09900990099009901,4.1315731573157315,4.957895909760699,0.00014609954682663452,0.008415333897214149,0.006336106662376151,23236/5579/7422/4088/50507/6772/8503/2335/1536/5336,10
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,14/225,205/9389,0.06829268292682927,2.849777777777778,4.195809964574787,0.0004049446034557444,0.013925726210859002,0.01048501315583682,4513/23236/4512/4514/4536/5579/2597/4088/4538/4508/4519/8503/9945/1536,14
Organismal Systems,Endocrine system,hsa04928,"Parathyroid hormone synthesis, secretion and action",10/225,115/9389,0.08695652173913043,3.628599033816425,4.444009488969463,0.00042348069489013735,0.013925726210859002,0.01048501315583682,23236/5579/408/3708/10672/4205/2770/2260/468/4325,10
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,8/225,76/9389,0.10526315789473684,4.392514619883041,4.652849249942496,0.00044563918016860855,0.013925726210859002,0.01048501315583682,6319/51129/4199/7316/1374/2180/1622/3611,8
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,13/225,184/9389,0.07065217391304347,2.948236714975845,4.181903411683105,0.00047081758496851276,0.013925726210859002,0.01048501315583682,659/8829/7869/59277/56896/2770/8503/5530/3985/5362/6387/5336/3611,13
Environmental Information Processing,Signal transduction,hsa04370,VEGF signaling pathway,7/225,60/9389,0.11666666666666667,4.8683703703703705,4.7100051943454995,0.0005422632627214777,0.013925726210859002,0.01048501315583682,8605/5579/7422/8503/5530/25759/5336,7
Organismal Systems,Digestive system,hsa04978,Mineral absorption,7/225,61/9389,0.11475409836065574,4.78856102003643,4.651362579387197,0.0006002818718760351,0.013925726210859002,0.01048501315583682,2495/2512/9843/493/6547/4502/1181,7
Human Diseases,Drug resistance: antineoplastic,hsa01521,EGFR tyrosine kinase inhibitor resistance,8/225,80/9389,0.1,4.172888888888889,4.465638891453721,0.0006312096406434364,0.013925726210859002,0.01048501315583682,80310/5579/7422/8503/25759/5336/3480/6194,8
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,12/225,166/9389,0.07228915662650602,3.0165461847389556,4.107346784553366,0.0006319793737107296,0.013925726210859002,0.01048501315583682,27345/23236/493/8660/4638/3708/10672/6547/4205/2770/5530/468,12
Organismal Systems,Endocrine system,hsa04935,"Growth hormone synthesis, secretion and action",10/225,122/9389,0.08196721311475409,3.42040072859745,4.216313239038637,0.0006769450241389792,0.013925726210859002,0.01048501315583682,23236/5579/8660/3708/6772/2770/8503/25759/468/5336,10
Organismal Systems,Endocrine system,hsa04929,GnRH secretion,7/225,65/9389,0.1076923076923077,4.493880341880342,4.428930164576618,0.0008834692807742256,0.016962610190865132,0.012771555918560737,6696/23236/5579/408/3708/3782/8503,7
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,16/225,278/9389,0.05755395683453238,2.401662669864109,3.7172189368652417,0.0010450114820221479,0.018810206676398662,0.014162655611615954,4513/4512/4514/4536/7846/3708/4538/4508/4519/8503/6261/5530/468/1536/3309/3303,16
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,15/225,254/9389,0.05905511811023622,2.464304461942257,3.7070566895840713,0.0011542182940721376,0.01888774376983512,0.014221035148340772,1133/23236/9630/3707/80310/493/5579/7422/4638/3708/6547/2260/6261/5530/5336,15
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,13/225,203/9389,0.06403940886699508,2.6722933771209636,3.7742661971113267,0.001180483985614695,0.01888774376983512,0.014221035148340772,6696/80310/5579/7422/4638/3908/3371/8503/2335/25759/2316/3480/3611,13
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecules,11/225,160/9389,0.06875,2.8688611111111113,3.7358975201556857,0.0015902063750760532,0.024104180843258067,0.018148615693388753,26047/25945/1272/257194/57502/9369/999/1002/5175/1462/5010,11
Organismal Systems,Immune system,hsa04611,Platelet activation,9/225,126/9389,0.07142857142857142,2.9806349206349205,3.5071079323310026,0.003229734870147336,0.04650818213012164,0.03501712543422901,23236/8605/4638/3708/10672/64805/2770/8503/5336,9
