Contrast,Database,Pathway,pvalue,p.adjust,GeneRatio
Pooled_OUD_vs_Control,C8_CellType,DESCARTES_FETAL_CEREBELLUM_MICROGLIA,3.3328017724565106e-16,3.9604794396024865e-14,70/435
Female_OUD_vs_Control,GO_BP,immune response,4.1022898824388537e-17,8.346108765821848e-14,88/287
Pooled_OUD_vs_Control,GO_BP,immune response,9.589641451612784e-16,1.39529283120966e-12,103/380
Pooled_OUD_vs_Control,C8_CellType,DESCARTES_FETAL_CEREBRUM_MICROGLIA,9.880510407294027e-14,4.69653594693376e-12,56/435
Female_OUD_vs_Control,Reactome,Immune System,7.41356318006257e-15,5.938264107230119e-12,89/206
Female_OUD_vs_Control,GO_BP,response to cytokine,1.6186637297921766e-14,2.1954475721747888e-11,59/287
Female_OUD_vs_Control,GO_BP,cellular response to cytokine stimulus,1.3094863955901876e-13,7.805979444394777e-11,54/287
Pooled_OUD_vs_Control,GO_BP,response to cytokine,1.774144992151465e-13,1.290690481790191e-10,68/380
Female_OUD_vs_Control,GO_BP,positive regulation of immune system process,5.40725447100915e-13,2.7502648053170287e-10,60/287
Female_OUD_vs_Control,DO,bone inflammation disease,1.5658025409077823e-12,4.0345512137390527e-10,29/160
Pooled_OUD_vs_Control,GO_BP,cellular response to cytokine stimulus,4.547367553246763e-12,1.5268661053786246e-9,61/380
Female_OUD_vs_Control,GO_BP,regulation of immune system process,5.115501964412231e-12,1.6011521148610283e-9,73/287
Pooled_OUD_vs_Control,GO_MF,immune receptor activity,7.451345615602396e-12,1.9646714606471653e-9,24/376
Pooled_OUD_vs_Control,C7_Immunologic,GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_DN,9.367464861553005e-12,2.140349238186923e-9,24/410
Pooled_OUD_vs_Control,C8_CellType,FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA,7.582124495029641e-11,2.1624219059824538e-9,40/435
Pooled_OUD_vs_Control,Reactome,Immune System,2.8477849051704873e-12,2.261141214705367e-9,101/267
Pooled_OUD_vs_Control,DO,bone inflammation disease,1.5395509381723886e-11,3.121439527144518e-9,31/199
Pooled_OUD_vs_Control,C8_CellType,ZHONG_PFC_MAJOR_TYPES_MICROGLIA,1.4761570881700544e-10,3.7589285852330314e-9,43/435
Female_OUD_vs_Control,DO,immune system disease,3.365994324195424e-11,6.504784031507657e-9,41/160
Female_OUD_vs_Control,C8_CellType,DESCARTES_FETAL_CEREBELLUM_MICROGLIA,1.3667105744521486e-10,8.324509862572178e-9,50/334
Female_OUD_vs_Control,GO_BP,cytokine production,4.521353797217703e-11,8.76066123851373e-9,48/287
Female_OUD_vs_Control,GO_BP,regulation of immune response,5.4804654575331315e-11,1.0136369975773778e-8,51/287
DLPFC_OUD_vs_Control,DO,bone inflammation disease,5.2201818784797824e-11,1.3816081371709825e-8,25/136
Pooled_OUD_vs_Control,GO_BP,positive regulation of immune system process,8.269266323761057e-11,1.8047673751608507e-8,67/380
Female_OUD_vs_Control,GO_BP,regulation of cytokine production,1.1721922267913582e-10,2.07376094383219e-8,47/287
Female_OUD_vs_Control,GO_BP,innate immune response,2.646297766790414e-10,4.486577338779247e-8,49/287
Female_OUD_vs_Control,GO_BP,positive regulation of cytokine production,3.0661839286671987e-10,4.9905209622987326e-8,36/287
