gene,coefficient,abs_coefficient,consistency_score,combined_score,effect_rank,consistency_rank,combined_rank,effect_percentile,consistency_percentile,combined_percentile,z_score,pval,fdr,significant_moderate_effect,significant_strong_effect,significant_high_consistency,significant_moderate_combined,significant_strong_combined,significant_fdr,significant,significant_lenient,contrast,biology,priority,biological_context,analysis_priority,contrast_description
GRID2,-0.04780103836835755,0.04780103836835755,0.3130383424457742,0.014963557818017503,1.0,2776.0,1.0,1.0,0.8265516594787174,1.0,-4.604233926285567,4.139869231867266e-06,0.06623790770987625,True,True,False,True,True,True,True,True,OUD_Effect_Male_vs_Female_Putamen,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation
IL1RAPL1,-0.023321418777598333,0.023321418777598333,0.5585842366284106,0.013026976904976246,14.0,295.0,2.0,0.999187449215576,0.9816238514907182,0.9999374960935058,-2.244159735022357,0.02482212568606945,0.999997377522206,True,True,True,True,True,False,True,True,OUD_Effect_Male_vs_Female_Putamen,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation
IMMP2L,-0.026104384818804248,0.026104384818804248,0.49078022795459547,0.01281151593198723,8.0,581.0,3.0,0.9995624726545409,0.9637477342333896,0.9998749921870117,-2.5124648165070127,0.011989105934717914,0.999997377522206,True,True,True,True,True,False,True,True,OUD_Effect_Male_vs_Female_Putamen,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation
PDE4D,0.03502062088749723,0.03502062088749723,0.3437916703630444,0.012039797752063597,2.0,2162.0,4.0,0.9999374960935058,0.8649290580661291,0.9998124882805175,3.3805821678797443,0.0007233244437203634,0.999997377522206,True,True,False,True,True,False,True,True,OUD_Effect_Male_vs_Female_Putamen,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation
PLCL2,0.023114056143309622,0.023114056143309622,0.5202732310935788,0.012025624673358081,16.0,442.0,5.0,0.9990624414025877,0.9724357772360772,0.9997499843740234,2.232673146860104,0.025570506531919168,0.999997377522206,True,True,True,True,True,False,True,True,OUD_Effect_Male_vs_Female_Putamen,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation
CALD1,-0.01773656879990881,0.01773656879990881,0.676556022947286,0.011999782447997221,40.0,102.0,6.0,0.9975623476467279,0.9936871054440902,0.9996874804675292,-1.7057257023547288,0.08805916191126428,0.999997377522206,True,True,True,True,True,False,True,True,OUD_Effect_Male_vs_Female_Putamen,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation
LINC00609,-0.02939634132935086,0.02939634132935086,0.3925237222616889,0.011538761319471923,5.0,1396.0,7.0,0.9997499843740234,0.9128070504406526,0.9996249765610351,-2.829841545769373,0.004657106261798605,0.999997377522206,True,True,False,True,True,False,True,True,OUD_Effect_Male_vs_Female_Putamen,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation
SLC7A14-AS1,-0.029528074421563483,0.029528074421563483,0.3901393217278609,0.011520062926758577,4.0,1431.0,8.0,0.9998124882805175,0.9106194137133571,0.9995624726545409,-2.842541901259524,0.004475534763747291,0.999997377522206,True,True,False,True,True,False,True,True,OUD_Effect_Male_vs_Female_Putamen,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation
ADAMTS18,0.026463674920544706,0.026463674920544706,0.4339396654232315,0.011483638240890331,7.0,958.0,9.0,0.9996249765610351,0.9401837614850929,0.9994999687480468,2.5556090812774563,0.010600213094965394,0.999997377522206,True,True,True,True,True,False,True,True,OUD_Effect_Male_vs_Female_Putamen,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation
PPP1R14A,0.024367482356421392,0.024367482356421392,0.44500125582054467,0.010843560249792484,10.0,873.0,10.0,0.9994374648415526,0.945496593537096,0.9994374648415526,2.3535156642550454,0.018596824313180216,0.999997377522206,True,True,True,True,True,False,True,True,OUD_Effect_Male_vs_Female_Putamen,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation
IGF1R,0.019455685471392033,0.019455685471392033,0.5297243412301886,0.010306150169514897,27.0,393.0,11.0,0.9983748984311519,0.9754984686542909,0.9993749609350584,1.8799705171131043,0.060112096171863305,0.999997377522206,True,True,True,True,True,False,True,True,OUD_Effect_Male_vs_Female_Putamen,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation
CPQ,-0.02061128681182104,0.02061128681182104,0.48249402985592027,0.009944822834351717,25.0,643.0,12.0,0.9984999062441403,0.959872492030752,0.9993124570285643,-1.9828765690959191,0.04738121849608312,0.999997377522206,True,True,True,True,True,False,True,True,OUD_Effect_Male_vs_Female_Putamen,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation
DPYSL5,-0.018589861162541375,0.018589861162541375,0.5318489040629549,0.00988699728598012,34.0,382.0,13.0,0.9979373710856928,0.9761860116257266,0.9992499531220701,-1.7879914122112384,0.07377739336171518,0.999997377522206,True,True,True,True,True,False,True,True,OUD_Effect_Male_vs_Female_Putamen,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation
