gene,coefficient,abs_coefficient,consistency_score,combined_score,effect_rank,consistency_rank,combined_rank,effect_percentile,consistency_percentile,combined_percentile,z_score,pval,fdr,significant_moderate_effect,significant_strong_effect,significant_high_consistency,significant_moderate_combined,significant_strong_combined,significant_fdr,significant,significant_lenient,contrast,biology,priority,biological_context,analysis_priority,contrast_description
KIRREL3,0.03980335435704599,0.03980335435704599,0.5217296164158685,0.02076658880076649,1.0,1459.0,1.0,1.0,0.9088693043315207,1.0,5.835224703173773,5.3718123282919805e-09,8.594899725267169e-05,True,True,False,True,True,True,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
ESRRG,-0.038479485955060774,0.038479485955060774,0.48135474326903427,0.01852228308302269,2.0,1958.0,2.0,0.9999374960935058,0.8776798549909369,0.9999374960935058,-5.665861270248009,1.4628785072190453e-08,0.00011703028057752363,True,True,False,True,True,True,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
CNDP1,-0.03503809460315684,0.03503809460315684,0.5056237341396211,0.01771609223038547,3.0,1665.0,3.0,0.9998749921870117,0.8959934995937247,0.9998749921870117,-5.160262116606721,2.4660432873524485e-07,0.0013152230865879726,True,True,False,True,True,True,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
MTRNR2L12,-0.033332934754815004,0.033332934754815004,0.5222840729777282,0.01740926092804565,4.0,1450.0,4.0,0.9998124882805175,0.9094318394899681,0.9998124882805175,-4.909745018146595,9.11948917270422e-07,0.003647795669081688,True,True,False,True,True,True,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
PLXDC2,0.028509930546487892,0.028509930546487892,0.5258272075659801,0.014991297167159766,5.0,1401.0,5.0,0.9997499843740234,0.9124945309081818,0.9997499843740234,4.176027902678661,2.9664344860513836e-05,0.09492590355364428,True,True,False,True,True,True,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
AC008771.1,-0.021905911105812238,0.021905911105812238,0.6451710448804558,0.014133059557195264,11.0,502.0,6.0,0.9993749609350584,0.9686855428464279,0.9996874804675292,-3.2309201200778475,0.001233924189203206,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
L3MBTL4,0.02063285651908876,0.02063285651908876,0.667328197882119,0.013768886958043831,13.0,405.0,7.0,0.9992499531220701,0.974748421776361,0.9996249765610351,3.0187512217747576,0.002538188640580419,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
CNTNAP4,0.023621748342367743,0.023621748342367743,0.5415156397151983,0.012791546164808694,7.0,1254.0,8.0,0.9996249765610351,0.9216826051628226,0.9995624726545409,3.4578704679305803,0.0005444630936422001,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
SVEP1,0.02213266388998815,0.02213266388998815,0.5522042648478137,0.01222175139249466,10.0,1147.0,9.0,0.9994374648415526,0.9283705231576973,0.9994999687480468,3.2390985347684316,0.0011990814085907076,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
SPRED1,-0.02039534086663878,0.02039534086663878,0.5802114908390231,0.01183361113040254,14.0,916.0,10.0,0.999187449215576,0.9428089255578473,0.9994374648415526,-3.008991557951578,0.0026211639913960028,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
DPP10,0.024948178368172487,0.024948178368172487,0.45456474951155607,0.011340562450697948,6.0,2355.0,11.0,0.9996874804675292,0.852865804112757,0.9993749609350584,3.65274568839635,0.00025945115629721904,0.6918697501259174,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
PARD3B,0.016144887946088655,0.016144887946088655,0.6896681232902767,0.011134614570510773,37.0,328.0,12.0,0.9977498593662104,0.979561222576411,0.9993124570285643,2.3593920033521916,0.018304908016174348,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
PTPRJ,-0.016880430131185998,0.016880430131185998,0.6490906872228561,0.010956929994468926,30.0,478.0,13.0,0.9981873867116695,0.9701856366022876,0.9992499531220701,-2.4925911514745827,0.012681477575021693,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
SH3GL3,0.017576124049268747,0.017576124049268747,0.6225805472859329,0.010942552929759184,26.0,618.0,14.0,0.9984374023376461,0.9614350896931059,0.999187449215576,2.5696650262178893,0.010179689389064883,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
PCDH9,0.022451060439532496,0.022451060439532496,0.46369720587080177,0.010410493994647713,9.0,2218.0,15.0,0.9994999687480468,0.8614288393024564,0.9991249453090818,3.285876424729382,0.0010166560105691058,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
AL139294.1,-0.01585383643024619,0.01585383643024619,0.6526108760638963,0.010346386081716681,39.0,464.0,16.0,0.9976248515532221,0.9710606912932058,0.9990624414025877,-2.3417670070361747,0.019192692158765956,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
ABTB2,-0.022522085927689738,0.022522085927689738,0.39178303402095493,0.00882377115723094,8.0,3558.0,17.0,0.9995624726545409,0.7776736046002874,0.9989999374960935,-3.321446723006625,0.0008955207747611826,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
AC012494.1,-0.0206626615315909,0.0206626615315909,0.4215811245641011,0.008710988084975483,12.0,2955.0,18.0,0.9993124570285643,0.8153634602162635,0.9989374335895993,-3.048265528311224,0.0023016645229538835,0.9999962640752833,True,True,False,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
DAB1,0.013794113303009196,0.013794113303009196,0.6218770073477434,0.008578241899891054,55.0,621.0,19.0,0.9966247890493156,0.9612475779736234,0.9988749296831052,2.0140230672430164,0.04400711171416383,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
ENOX2,0.011242777178370219,0.011242777178370219,0.7322131480104936,0.008232109270154993,95.0,203.0,20.0,0.9941246327895493,0.9873742108881806,0.998812425776611,1.639188224772034,0.10117406541666352,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
KCNQ1OT1,0.013346749449561924,0.013346749449561924,0.6149169138721852,0.008207141981749905,65.0,666.0,21.0,0.995999749984374,0.9584349021813864,0.9987499218701169,1.9482976781362213,0.05137935482418188,0.9999962640752833,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
