gene,coefficient,abs_coefficient,consistency_score,combined_score,effect_rank,consistency_rank,combined_rank,effect_percentile,consistency_percentile,combined_percentile,z_score,pval,fdr,significant_moderate_effect,significant_strong_effect,significant_high_consistency,significant_moderate_combined,significant_strong_combined,significant_fdr,significant,significant_lenient,contrast,biology,priority,biological_context,analysis_priority,contrast_description
ROR1,-0.02234766364323091,0.02234766364323091,0.7319667810847066,0.016357747421699455,3.0,223.0,1.0,0.9998749921870117,0.9861241327582974,1.0,-3.522351853025518,0.0004277360328914792,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
SVEP1,-0.01808271194381917,0.01808271194381917,0.6584439024009763,0.011906451418281037,10.0,464.0,2.0,0.9994374648415526,0.9710606912932058,0.9999374960935058,-2.8451793015642473,0.0044386430074576655,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
CHRM5,0.022134343852100304,0.022134343852100304,0.4761937048648832,0.010540235203684894,6.0,1941.0,3.0,0.9996874804675292,0.8787424214013376,0.9998749921870117,3.5403294227993607,0.0003996278738960246,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
DMD,-0.021584175119256237,0.021584175119256237,0.4698641082034069,0.010141629193715496,7.0,2033.0,4.0,0.9996249765610351,0.8729920620038752,0.9998124882805175,-3.401128095236505,0.0006710837355936583,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
LINC01170,0.022570226814109754,0.022570226814109754,0.4420937573274871,0.00997815637598338,2.0,2455.0,5.0,0.9999374960935058,0.8466154134633415,0.9997499843740234,3.6095372352965454,0.0003067437422239472,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
CNTNAP2,0.02854317814033349,0.02854317814033349,0.3484672056163074,0.009946361525970481,1.0,4314.0,6.0,1.0,0.7304206512907057,0.9996874804675292,4.557899367953473,5.166778109577663e-06,0.08266844975324261,True,True,False,True,True,True,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
PLP1,-0.02119149586322541,0.02119149586322541,0.42878982282701705,0.009086697756631889,8.0,2683.0,7.0,0.9995624726545409,0.8323645227826739,0.9996249765610351,-3.3387800002395585,0.0008414717813518546,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
GREM1,0.015084359943817608,0.015084359943817608,0.5948118698561813,0.008972356343765833,17.0,772.0,8.0,0.9989999374960935,0.9518094880930058,0.9995624726545409,2.420960218315481,0.015479571197156705,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
ADARB2,-0.022183928302359854,0.022183928302359854,0.3907174631209226,0.008667648188354478,5.0,3379.0,9.0,0.9997499843740234,0.7888618038627414,0.9994999687480468,-3.496354588259934,0.0004716614823701004,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
AC079352.1,0.017123514169800354,0.017123514169800354,0.4872660824797898,0.008343707667805789,11.0,1787.0,10.0,0.9993749609350584,0.8883680230014376,0.9994374648415526,2.744729247217315,0.006056083953490443,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
SCD,-0.019048605267641537,0.019048605267641537,0.4311689382037542,0.00821316690751144,9.0,2638.0,11.0,0.9994999687480468,0.8351771985749109,0.9993749609350584,-2.9985401114000108,0.0027127644464683964,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
FADS1,-0.013029862310202905,0.013029862310202905,0.6141998172485799,0.008002939049700782,28.0,668.0,12.0,0.9983123945246578,0.958309894368398,0.9993124570285643,-2.042907360473328,0.04106160956254956,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
P4HA1,-0.01094252279197089,0.01094252279197089,0.6910903748904194,0.00756227217855012,49.0,335.0,13.0,0.9969998124882805,0.9791236952309519,0.9992499531220701,-1.7114876570515816,0.08699112779541252,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
KCNMB4,-0.01646049962278188,0.01646049962278188,0.45854063807196516,0.0075478080000137455,13.0,2199.0,14.0,0.9992499531220701,0.8626164135258454,0.999187449215576,-2.5876106973054354,0.009664413718314613,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
CLDND1,-0.01662160826061159,0.01662160826061159,0.45395193179990206,0.007545411179525841,12.0,2262.0,15.0,0.9993124570285643,0.8586786674167135,0.9991249453090818,-2.613190904311447,0.008970118162964225,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
AVEN,0.013790701053951084,0.013790701053951084,0.5394486747497331,0.00743937540742366,24.0,1212.0,16.0,0.9985624101506344,0.9243077692355772,0.9990624414025877,2.215558058358476,0.026721783982620595,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
ETV6,0.011795262103973683,0.011795262103973683,0.5808167282415433,0.006850885543981456,41.0,876.0,17.0,0.9974998437402338,0.9453090818176136,0.9989999374960935,1.8987299720690647,0.057599988673076474,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
CRYAB,-0.012258019018714712,0.012258019018714712,0.5571171006415002,0.0068291520153147085,35.0,1053.0,18.0,0.9978748671791987,0.934245890368148,0.9989374335895993,-1.9203570649805524,0.05481281287250628,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
BMPR2,0.009128338922849083,0.009128338922849083,0.7431266148008804,0.006783511602491954,72.0,203.0,19.0,0.9955622226389149,0.9873742108881806,0.9988749296831052,1.475286214109872,0.14013561116779494,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
DPP10,-0.016256001761571683,0.016256001761571683,0.41557724783370986,0.006755624472853899,14.0,2916.0,20.0,0.999187449215576,0.8178011125695356,0.998812425776611,-2.5551413170629385,0.010614469436779794,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
H3F3B,-0.013031926542837422,0.013031926542837422,0.5144661448789397,0.006704485008839097,27.0,1458.0,21.0,0.9983748984311519,0.9089318082380149,0.9987499218701169,-2.0432351113550364,0.04102916955581404,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
AL033523.1,0.022267360007368692,0.022267360007368692,0.29233693222903595,0.006509571713393687,4.0,5703.0,22.0,0.9998124882805175,0.6436027251703231,0.9986874179636227,3.5614492139709903,0.00036881345396766463,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
LINC01099,0.012346141274833152,0.012346141274833152,0.5228265759032948,0.006454890768339356,34.0,1373.0,23.0,0.9979373710856928,0.9142446402900182,0.9986249140571286,1.9861964382729442,0.04701151619646682,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
NRP1,0.011817870413627144,0.011817870413627144,0.5400250602037155,0.006381946181598707,40.0,1204.0,24.0,0.9975623476467279,0.9248078004875304,0.9985624101506344,1.902319632119464,0.057129380627970905,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
AC006059.1,-0.01400644326750247,0.01400644326750247,0.4554611534762259,0.006379390806715994,23.0,2242.0,25.0,0.9986249140571286,0.8599287455465967,0.9984999062441403,-2.197965111456593,0.027951592257729363,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
SPP1,-0.011767651321205235,0.011767651321205235,0.5407491925636517,0.00636334795031232,42.0,1193.0,26.0,0.9974373398337396,0.9254953434589662,0.9984374023376461,-1.8424983767045557,0.065402283749594,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
MSRA,0.009353831459250627,0.009353831459250627,0.6730369673626188,0.006295474358555101,63.0,409.0,27.0,0.9961247577973623,0.9744984061503844,0.9983748984311519,1.5110890477578045,0.13076576474301382,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
LINC01572,0.011836905977875291,0.011836905977875291,0.5205868895373443,0.006162138064768095,39.0,1394.0,28.0,0.9976248515532221,0.9129320582536409,0.9983123945246578,1.9053420254591589,0.05673562596714432,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
PLD5,0.00879306483484121,0.00879306483484121,0.6867594939297526,0.006038720756067053,80.0,350.0,29.0,0.9950621913869617,0.9781861366335396,0.9982498906181636,1.4220526898834527,0.1550109555343291,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
MT-CO2,-0.015336222021873196,0.015336222021873196,0.38127937312224525,0.005847385118563385,15.0,3588.0,30.0,0.9991249453090818,0.7757984874054629,0.9981873867116695,-2.409102243935823,0.015991817156475463,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
MACF1,0.007711483055152476,0.007711483055152476,0.7519742240630879,0.005798836486773934,120.0,191.0,31.0,0.9925620351271954,0.9881242577661103,0.9981248828051753,1.2503233140345156,0.2111814651729922,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
NECTIN3,-0.012542350754121327,0.012542350754121327,0.45823050303596724,0.005747287695314559,32.0,2203.0,32.0,0.9980623788986812,0.8623663978998688,0.9980623788986812,-1.965502159297392,0.049356145997630385,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
GTF2IRD1,-0.006512162655060025,0.006512162655060025,0.8770303809532563,0.005711364494196862,164.0,61.0,33.0,0.9898118632414525,0.9962497656103506,0.997999874992187,-1.00805219300681,0.313429406594397,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
OLMALINC,-0.009459976207176774,0.009459976207176774,0.5902413336450291,0.005583668972774263,61.0,803.0,34.0,0.9962497656103506,0.949871866991687,0.9979373710856928,-1.4760946387382214,0.139918487950784,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
SH3GL3,-0.011590744555205541,0.011590744555205541,0.4797623468906915,0.005560802810015915,44.0,1889.0,35.0,0.9973123320207513,0.8819926245390337,0.9978748671791987,-1.8144098039501917,0.06961465749315465,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
AL589740.1,0.008719818042591667,0.008719818042591667,0.626865114171235,0.00546614973282162,85.0,605.0,36.0,0.9947496718544909,0.9622476404775299,0.9978123632727045,1.4104228472287708,0.15841486305930452,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
LINC01266,-0.006623611620248354,0.006623611620248354,0.8217052386168215,0.0054426563669213255,161.0,104.0,37.0,0.989999374960935,0.9935620976311019,0.9977498593662104,-1.0257476290711174,0.30501055747899386,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
AL078590.2,0.013549418431731595,0.013549418431731595,0.4008043923342987,0.005430666421013329,26.0,3192.0,38.0,0.9984374023376461,0.8005500343771486,0.9976873554597162,2.1772481358957734,0.029462058560405957,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
RPS6KA2,-0.01054651112770069,0.01054651112770069,0.5143709392516764,0.005424818834583661,51.0,1459.0,39.0,0.9968748046752922,0.9088693043315207,0.9976248515532221,-1.6486104551504994,0.09922746542677241,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
FTH1,-0.014664204078775188,0.014664204078775188,0.3670841208482078,0.005382996462195893,19.0,3881.0,40.0,0.9988749296831052,0.7574848428026751,0.9975623476467279,-2.302401831544705,0.021312521786467142,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
AL355835.1,0.008773254399778465,0.008773254399778465,0.6134453525736242,0.0053819121384902,81.0,675.0,41.0,0.9949996874804675,0.957872367022939,0.9974998437402338,1.4189072655498438,0.15592605381186164,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
