gene,coefficient,abs_coefficient,consistency_score,combined_score,effect_rank,consistency_rank,combined_rank,effect_percentile,consistency_percentile,combined_percentile,z_score,pval,fdr,significant_moderate_effect,significant_strong_effect,significant_high_consistency,significant_moderate_combined,significant_strong_combined,significant_fdr,significant,significant_lenient,contrast,biology,priority,biological_context,analysis_priority,contrast_description
ZBTB16,-0.0412810417094758,0.0412810417094758,0.7058268125975412,0.02913726609050546,5.0,166.0,1.0,0.9997499843740234,0.9896868554284642,1.0,-3.5244018625488676,0.0004244400048400987,0.999999113285704,True,True,True,True,True,False,True,True,OUD_Effect_Male_vs_Female_Caudate,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
SLC39A11,-0.03703786692059829,0.03703786692059829,0.7190314079654534,0.02663138959995488,10.0,149.0,2.0,0.9994374648415526,0.9907494218388649,0.9999374960935058,-3.1617601698047078,0.0015681866174399595,0.999999113285704,True,True,True,True,True,False,True,True,OUD_Effect_Male_vs_Female_Caudate,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
CNDP1,-0.049082674173667726,0.049082674173667726,0.5292201939124629,0.02597554234393067,2.0,853.0,3.0,0.9999374960935058,0.9467466716669792,0.9998749921870117,-4.191166100118913,2.7752438687800307e-05,0.22201950950240246,True,True,True,True,True,False,True,True,OUD_Effect_Male_vs_Female_Caudate,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
PDE4B,-0.031737951978462194,0.031737951978462194,0.7179378557263185,0.022785877188562016,16.0,151.0,4.0,0.9990624414025877,0.9906244140258766,0.9998124882805175,-2.7088044888239726,0.006752611861625235,0.999999113285704,True,True,True,True,True,False,True,True,OUD_Effect_Male_vs_Female_Caudate,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
ARL17B,-0.03623998437323516,0.03623998437323516,0.5871114111375898,0.021276908364974298,11.0,527.0,5.0,0.9993749609350584,0.967122945184074,0.9997499843740234,-3.0935693711731647,0.001977643118298511,0.999999113285704,True,True,True,True,True,False,True,True,OUD_Effect_Male_vs_Female_Caudate,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
CCDC200,0.038320220675728336,0.038320220675728336,0.5416547917428831,0.020756331149652956,9.0,760.0,6.0,0.9994999687480468,0.9525595349709357,0.9996874804675292,3.2786967539893523,0.0010428763602441382,0.999999113285704,True,True,True,True,True,False,True,True,OUD_Effect_Male_vs_Female_Caudate,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
CTNNA2,-0.05967317989520107,0.05967317989520107,0.34270402131675876,0.02045023871484377,1.0,3413.0,7.0,1.0,0.7867366710419401,0.9996249765610351,-5.096280575238036,3.4639163160044006e-07,0.005542266105607041,True,True,False,True,True,True,True,True,OUD_Effect_Male_vs_Female_Caudate,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
GRIN2A,-0.04035540817887784,0.04035540817887784,0.4945299290493068,0.019956957143456272,6.0,1097.0,8.0,0.9996874804675292,0.9314957184824051,0.9995624726545409,-3.445292863486023,0.0005704409804943023,0.999999113285704,True,True,True,True,True,False,True,True,OUD_Effect_Male_vs_Female_Caudate,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
LINC01170,0.03922026980170298,0.03922026980170298,0.4806097014851774,0.018849642161564584,8.0,1229.0,9.0,0.9995624726545409,0.9232452028251765,0.9994999687480468,3.3556191893912395,0.0007918752562963149,0.999999113285704,True,True,True,True,True,False,True,True,OUD_Effect_Male_vs_Female_Caudate,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
CNTNAP2,-0.04594924020291464,0.04594924020291464,0.41018550385449326,0.018847712244363678,3.0,2162.0,10.0,0.9998749921870117,0.8649290580661291,0.9994374648415526,-3.923368081938155,8.731958701146958e-05,0.46570446406117105,True,True,False,True,True,False,True,True,OUD_Effect_Male_vs_Female_Caudate,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
FP236383.3,0.03928570679173469,0.03928570679173469,0.4588536059233108,0.018026388222633364,7.0,1494.0,11.0,0.9996249765610351,0.9066816676042253,0.9993749609350584,3.361211742612329,0.0007760131021201655,0.999999113285704,True,True,False,True,True,False,True,True,OUD_Effect_Male_vs_Female_Caudate,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
DPP10,0.03380464769254811,0.03380464769254811,0.5065308325214463,0.017123096338800582,12.0,1015.0,12.0,0.9993124570285643,0.936621038814926,0.9993124570285643,2.8927746292108285,0.0038185518733888646,0.999999113285704,True,True,True,True,True,False,True,True,OUD_Effect_Male_vs_Female_Caudate,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
PIEZO2,-0.030355856645015365,0.030355856645015365,0.523748186995321,0.015898824882516666,19.0,889.0,13.0,0.9988749296831052,0.9444965310331895,0.9992499531220701,-2.5906841152374884,0.009578536867674625,0.999999113285704,True,True,True,True,True,False,True,True,OUD_Effect_Male_vs_Female_Caudate,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
TNIK,0.03121049116176461,0.03121049116176461,0.5085338358311967,0.01587159078866782,17.0,1002.0,14.0,0.9989999374960935,0.93743358959935,0.999187449215576,2.6710657997672245,0.0075610823490803725,0.999999113285704,True,True,True,True,True,False,True,True,OUD_Effect_Male_vs_Female_Caudate,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
HIVEP3,-0.025170029771883106,0.025170029771883106,0.6169834320884059,0.015529491354423795,26.0,387.0,15.0,0.9984374023376461,0.9758734920932558,0.9991249453090818,-2.147478937717962,0.03175517223037838,0.999999113285704,True,True,True,True,True,False,True,True,OUD_Effect_Male_vs_Female_Caudate,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
SPRED1,-0.029030899784606986,0.029030899784606986,0.5330726179660504,0.015475577750090496,20.0,815.0,16.0,0.998812425776611,0.9491218201137571,0.9990624414025877,-2.4774470645435223,0.01323260362622336,0.999999113285704,True,True,True,True,True,False,True,True,OUD_Effect_Male_vs_Female_Caudate,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
