gene,coefficient,abs_coefficient,consistency_score,combined_score,effect_rank,consistency_rank,combined_rank,effect_percentile,consistency_percentile,combined_percentile,z_score,pval,fdr,significant_moderate_effect,significant_strong_effect,significant_high_consistency,significant_moderate_combined,significant_strong_combined,significant_fdr,significant,significant_lenient,contrast,biology,priority,biological_context,analysis_priority,contrast_description
PTPRM,0.03613967783598076,0.03613967783598076,0.5756293127985024,0.020803057917484873,1.0,310.0,1.0,1.0,0.9806862928933058,1.0,4.71542948204513,2.412014228347914e-06,0.038592227653566624,True,True,True,True,True,True,True,True,putamen_sex_oud,Sex-specific vulnerability in habit formation,MEDIUM,Sex-specific vulnerability in habit formation,MEDIUM,Sex differences in OUD subjects - motor circuits
NTRK2,0.02174274286958825,0.02174274286958825,0.7260693030148554,0.01578673816095316,8.0,80.0,2.0,0.9995624726545409,0.9950621913869617,0.9999374960935058,2.829774277037988,0.004658085478564056,0.9999971627437083,True,True,True,True,True,False,True,True,putamen_sex_oud,Sex-specific vulnerability in habit formation,MEDIUM,Sex-specific vulnerability in habit formation,MEDIUM,Sex differences in OUD subjects - motor circuits
DMD,0.02426576791332794,0.02426576791332794,0.6469895350462774,0.015699697899784922,6.0,161.0,3.0,0.9996874804675292,0.989999374960935,0.9998749921870117,3.1602303996221996,0.0015764442400356682,0.9999971627437083,True,True,True,True,True,False,True,True,putamen_sex_oud,Sex-specific vulnerability in habit formation,MEDIUM,Sex-specific vulnerability in habit formation,MEDIUM,Sex differences in OUD subjects - motor circuits
AL033523.1,0.025008709688868723,0.025008709688868723,0.5806275690551218,0.014520746311853119,5.0,293.0,4.0,0.9997499843740234,0.9817488593037065,0.9998124882805175,3.257538057768603,0.001123831874378034,0.9999971627437083,True,True,True,True,True,False,True,True,putamen_sex_oud,Sex-specific vulnerability in habit formation,MEDIUM,Sex-specific vulnerability in habit formation,MEDIUM,Sex differences in OUD subjects - motor circuits
GRID2,0.027976135029230183,0.027976135029230183,0.4984208199367348,0.013943888159929717,3.0,715.0,5.0,0.9998749921870117,0.9553722107631727,0.9997499843740234,3.6462000230816805,0.0002661468387061827,0.9999971627437083,True,True,True,True,True,False,True,True,putamen_sex_oud,Sex-specific vulnerability in habit formation,MEDIUM,Sex-specific vulnerability in habit formation,MEDIUM,Sex differences in OUD subjects - motor circuits
LAMA2,-0.034464444663103264,0.034464444663103264,0.40100232871611713,0.013820322567812163,2.0,1719.0,6.0,0.9999374960935058,0.8926182886430402,0.9996874804675292,-4.532027104800857,5.842035155634306e-06,0.04673628124507445,True,True,False,True,True,True,True,True,putamen_sex_oud,Sex-specific vulnerability in habit formation,MEDIUM,Sex-specific vulnerability in habit formation,MEDIUM,Sex differences in OUD subjects - motor circuits
ADAMTS18,-0.018010411211827233,0.018010411211827233,0.7324343729138566,0.013191444241855373,13.0,72.0,7.0,0.9992499531220701,0.9955622226389149,0.9996249765610351,-2.3769410470262446,0.017456877883647914,0.9999971627437083,True,True,True,True,True,False,True,True,putamen_sex_oud,Sex-specific vulnerability in habit formation,MEDIUM,Sex-specific vulnerability in habit formation,MEDIUM,Sex differences in OUD subjects - motor circuits
NTM,0.026802848906480947,0.026802848906480947,0.4759845293653523,0.012757741422401981,4.0,875.0,8.0,0.9998124882805175,0.9453715857241077,0.9995624726545409,3.4925275164343077,0.0004784722961332921,0.9999971627437083,True,True,True,True,True,False,True,True,putamen_sex_oud,Sex-specific vulnerability in habit formation,MEDIUM,Sex-specific vulnerability in habit formation,MEDIUM,Sex differences in OUD subjects - motor circuits
PDE1A,-0.023776109674921594,0.023776109674921594,0.49354000778402446,0.011734461354034623,7.0,749.0,9.0,0.9996249765610351,0.9532470779423714,0.9994999687480468,-3.132110070350647,0.001735547954840433,0.9999971627437083,True,True,True,True,True,False,True,True,putamen_sex_oud,Sex-specific vulnerability in habit formation,MEDIUM,Sex-specific vulnerability in habit formation,MEDIUM,Sex differences in OUD subjects - motor circuits
CD55,0.015699949209650278,0.015699949209650278,0.668218471470878,0.010490996063042927,20.0,137.0,10.0,0.998812425776611,0.9914994687167948,0.9994374648415526,2.038312389890116,0.04151870158489834,0.9999971627437083,True,True,True,True,True,False,True,True,putamen_sex_oud,Sex-specific vulnerability in habit formation,MEDIUM,Sex-specific vulnerability in habit formation,MEDIUM,Sex differences in OUD subjects - motor circuits
