gene,effect_size_lemur,abs_coefficient,consistency_score,combined_score,effect_rank,consistency_rank,combined_rank,effect_percentile,consistency_percentile,combined_percentile,z_score,pvalue,padj_lemur,significant_moderate_effect,significant_strong_effect,significant_high_consistency,significant_moderate_combined,significant_strong_combined,significant_fdr,significant,significant_lenient,contrast,biology,priority,biological_context,analysis_priority,contrast_description,effect_size_deseq2,padj_deseq2
ZBTB16,-0.0412810417094758,0.0412810417094758,0.7058268125975412,0.0291372660905054,5.0,166.0,1.0,0.9997499843740234,0.9896868554284642,1.0,-3.5244018625488676,0.00042444000484,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,-2.1386362145519673,0.0048656411018006
CTNNA2,-0.059673179895201,0.059673179895201,0.3427040213167587,0.0204502387148437,1.0,3413.0,7.0,1.0,0.7867366710419401,0.9996249765610352,-5.096280575238036,3.463916316004401e-07,0.005542266105607,True,True,False,True,True,True,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,0.8653773267643242,0.0240085807760991
CDH19,-0.0278123620518352,0.0278123620518352,0.5187652258265786,0.0144280862805908,22.0,919.0,20.0,0.9986874179636228,0.9426214138383648,0.998812425776611,-2.3733050934790025,0.0176296948582026,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,-1.128400363123047,0.0013920604918773
FKBP5,-0.0247719570243377,0.0247719570243377,0.4904959639738263,0.0121505449401707,28.0,1139.0,26.0,0.9983123945246578,0.9288705544096506,0.998437402337646,-2.113457766734488,0.0345616061406037,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,-2.8376567525798233,2.8797852508888785e-08
BAALC,-0.0239954508244387,0.0239954508244387,0.5024295486119553,0.0120560235264631,33.0,1044.0,27.0,0.997999874992187,0.9348084255265954,0.998374898431152,-2.0470938913891144,0.0406488666475115,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,-1.1937822314749695,0.0234304292556551
CDH20,-0.0330558587989876,0.0330558587989876,0.3630251933097948,0.0120001095305237,13.0,2980.0,28.0,0.99924995312207,0.8138008625539096,0.9983123945246578,-2.8214390099205793,0.0047808727374805,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,0.9579034690031732,0.0141480332016937
MOBP,0.0268689057171818,0.0268689057171818,0.4242325014155519,0.0113986630826986,23.0,1964.0,31.0,0.9986249140571286,0.877304831551972,0.9981248828051752,2.3000134691057785,0.0214474569754357,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,0.8110271875395917,0.0211115455535185
LINC02821,-0.017168393234058,0.017168393234058,0.6187293563359653,0.0106225888950314,80.0,377.0,36.0,0.9950621913869616,0.9764985311581974,0.9978123632727044,-1.4636214104705374,0.1432974192398532,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,-1.44444289609227,0.0004046540338387
STAT3,-0.012774301023289,0.012774301023289,0.7816659125379325,0.0099852356664034,170.0,82.0,39.0,0.9894368398024876,0.9949371835739734,0.997624851553222,-1.0880816043885109,0.2765590838974487,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,-1.6074634203963916,1.0276518967572298e-06
MGAT4C,-0.0135099729130174,0.0135099729130174,0.6281544173783576,0.0084863491639738,148.0,348.0,60.0,0.990811925745359,0.978311144446528,0.9963122695168448,-1.1509555873539803,0.2497505073243699,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control,2.864308878655006,7.040158623793111e-13
