gene,effect_size,abs_coefficient,consistency_score,combined_score,effect_rank,consistency_rank,combined_rank,effect_percentile,consistency_percentile,combined_percentile,z_score,pvalue,padj,significant_moderate_effect,significant_strong_effect,significant_high_consistency,significant_moderate_combined,significant_strong_combined,significant_fdr,significant,significant_lenient,contrast,biology,priority,biological_context,analysis_priority,contrast_description
ROR1,-0.0223476636432309,0.0223476636432309,0.7319667810847066,0.0163577474216994,3.0,223.0,1.0,0.9998749921870116,0.9861241327582974,1.0,-3.522351853025518,0.0004277360328914,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
SVEP1,-0.0180827119438191,0.0180827119438191,0.6584439024009763,0.011906451418281,10.0,464.0,2.0,0.9994374648415526,0.9710606912932058,0.9999374960935058,-2.8451793015642473,0.0044386430074576,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
CHRM5,0.0221343438521003,0.0221343438521003,0.4761937048648832,0.0105402352036848,6.0,1941.0,3.0,0.9996874804675292,0.8787424214013376,0.9998749921870116,3.5403294227993607,0.000399627873896,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
DMD,-0.0215841751192562,0.0215841751192562,0.4698641082034069,0.0101416291937154,7.0,2033.0,4.0,0.9996249765610352,0.8729920620038752,0.9998124882805176,-3.401128095236505,0.0006710837355936,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
LINC01170,0.0225702268141097,0.0225702268141097,0.4420937573274871,0.0099781563759833,2.0,2455.0,5.0,0.9999374960935058,0.8466154134633415,0.9997499843740234,3.609537235296546,0.0003067437422239,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
CNTNAP2,0.0285431781403334,0.0285431781403334,0.3484672056163074,0.0099463615259704,1.0,4314.0,6.0,1.0,0.7304206512907057,0.9996874804675292,4.557899367953473,5.166778109577663e-06,0.0826684497532426,True,True,False,True,True,True,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
PLP1,-0.0211914958632254,0.0211914958632254,0.428789822827017,0.0090866977566318,8.0,2683.0,7.0,0.9995624726545408,0.8323645227826739,0.9996249765610352,-3.3387800002395585,0.0008414717813518,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
GREM1,0.0150843599438176,0.0150843599438176,0.5948118698561813,0.0089723563437658,17.0,772.0,8.0,0.9989999374960936,0.9518094880930058,0.9995624726545408,2.420960218315481,0.0154795711971567,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
ADARB2,-0.0221839283023598,0.0221839283023598,0.3907174631209226,0.0086676481883544,5.0,3379.0,9.0,0.9997499843740234,0.7888618038627414,0.9994999687480468,-3.496354588259934,0.0004716614823701,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
AC079352.1,0.0171235141698003,0.0171235141698003,0.4872660824797898,0.0083437076678057,11.0,1787.0,10.0,0.9993749609350584,0.8883680230014376,0.9994374648415526,2.744729247217315,0.0060560839534904,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
SCD,-0.0190486052676415,0.0190486052676415,0.4311689382037542,0.0082131669075114,9.0,2638.0,11.0,0.9994999687480468,0.8351771985749109,0.9993749609350584,-2.9985401114000108,0.0027127644464683,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
FADS1,-0.0130298623102029,0.0130298623102029,0.6141998172485799,0.0080029390497007,28.0,668.0,12.0,0.9983123945246578,0.958309894368398,0.9993124570285644,-2.042907360473328,0.0410616095625495,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
P4HA1,-0.0109425227919708,0.0109425227919708,0.6910903748904194,0.0075622721785501,49.0,335.0,13.0,0.9969998124882804,0.979123695230952,0.99924995312207,-1.7114876570515816,0.0869911277954125,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
KCNMB4,-0.0164604996227818,0.0164604996227818,0.4585406380719651,0.0075478080000137,13.0,2199.0,14.0,0.99924995312207,0.8626164135258454,0.999187449215576,-2.5876106973054354,0.0096644137183146,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
CLDND1,-0.0166216082606115,0.0166216082606115,0.453951931799902,0.0075454111795258,12.0,2262.0,15.0,0.9993124570285644,0.8586786674167135,0.9991249453090818,-2.613190904311447,0.0089701181629642,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
AVEN,0.013790701053951,0.013790701053951,0.5394486747497331,0.0074393754074236,24.0,1212.0,16.0,0.9985624101506344,0.9243077692355772,0.9990624414025876,2.215558058358476,0.0267217839826205,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
ETV6,0.0117952621039736,0.0117952621039736,0.5808167282415433,0.0068508855439814,41.0,876.0,17.0,0.9974998437402338,0.9453090818176136,0.9989999374960936,1.898729972069065,0.0575999886730764,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
CRYAB,-0.0122580190187147,0.0122580190187147,0.5571171006415002,0.0068291520153147,35.0,1053.0,18.0,0.9978748671791988,0.934245890368148,0.9989374335895992,-1.9203570649805524,0.0548128128725062,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
BMPR2,0.009128338922849,0.009128338922849,0.7431266148008804,0.0067835116024919,72.0,203.0,19.0,0.9955622226389148,0.9873742108881806,0.9988749296831052,1.475286214109872,0.1401356111677949,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
DPP10,-0.0162560017615716,0.0162560017615716,0.4155772478337098,0.0067556244728538,14.0,2916.0,20.0,0.999187449215576,0.8178011125695356,0.998812425776611,-2.5551413170629385,0.0106144694367797,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
H3F3B,-0.0130319265428374,0.0130319265428374,0.5144661448789397,0.006704485008839,27.0,1458.0,21.0,0.998374898431152,0.9089318082380148,0.9987499218701168,-2.0432351113550364,0.041029169555814,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
AL033523.1,0.0222673600073686,0.0222673600073686,0.2923369322290359,0.0065095717133936,4.0,5703.0,22.0,0.9998124882805176,0.6436027251703231,0.9986874179636228,3.5614492139709903,0.0003688134539676,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
LINC01099,0.0123461412748331,0.0123461412748331,0.5228265759032948,0.0064548907683393,34.0,1373.0,23.0,0.9979373710856928,0.9142446402900182,0.9986249140571286,1.986196438272944,0.0470115161964668,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
NRP1,0.0118178704136271,0.0118178704136271,0.5400250602037155,0.0063819461815987,40.0,1204.0,24.0,0.997562347646728,0.9248078004875304,0.9985624101506344,1.902319632119464,0.0571293806279709,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
AC006059.1,-0.0140064432675024,0.0140064432675024,0.4554611534762259,0.0063793908067159,23.0,2242.0,25.0,0.9986249140571286,0.8599287455465967,0.9984999062441404,-2.197965111456593,0.0279515922577293,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
SPP1,-0.0117676513212052,0.0117676513212052,0.5407491925636517,0.0063633479503123,42.0,1193.0,26.0,0.9974373398337396,0.9254953434589662,0.998437402337646,-1.8424983767045555,0.065402283749594,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
MSRA,0.0093538314592506,0.0093538314592506,0.6730369673626188,0.0062954743585551,63.0,409.0,27.0,0.9961247577973624,0.9744984061503844,0.998374898431152,1.5110890477578045,0.1307657647430138,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
LINC01572,0.0118369059778752,0.0118369059778752,0.5205868895373443,0.006162138064768,39.0,1394.0,28.0,0.997624851553222,0.9129320582536408,0.9983123945246578,1.9053420254591589,0.0567356259671443,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
PLD5,0.0087930648348412,0.0087930648348412,0.6867594939297526,0.006038720756067,80.0,350.0,29.0,0.9950621913869616,0.9781861366335396,0.9982498906181636,1.422052689883453,0.1550109555343291,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
MT-CO2,-0.0153362220218731,0.0153362220218731,0.3812793731222452,0.0058473851185633,15.0,3588.0,30.0,0.9991249453090818,0.7757984874054629,0.9981873867116696,-2.409102243935823,0.0159918171564754,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
MACF1,0.0077114830551524,0.0077114830551524,0.7519742240630879,0.0057988364867739,120.0,191.0,31.0,0.9925620351271954,0.9881242577661103,0.9981248828051752,1.2503233140345156,0.2111814651729922,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
NECTIN3,-0.0125423507541213,0.0125423507541213,0.4582305030359672,0.0057472876953145,32.0,2203.0,32.0,0.9980623788986812,0.8623663978998688,0.9980623788986812,-1.965502159297392,0.0493561459976303,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
GTF2IRD1,-0.00651216265506,0.00651216265506,0.8770303809532563,0.0057113644941968,164.0,61.0,33.0,0.9898118632414524,0.9962497656103506,0.997999874992187,-1.00805219300681,0.313429406594397,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
OLMALINC,-0.0094599762071767,0.0094599762071767,0.5902413336450291,0.0055836689727742,61.0,803.0,34.0,0.9962497656103506,0.949871866991687,0.9979373710856928,-1.4760946387382214,0.139918487950784,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
SH3GL3,-0.0115907445552055,0.0115907445552055,0.4797623468906915,0.0055608028100159,44.0,1889.0,35.0,0.9973123320207512,0.8819926245390337,0.9978748671791988,-1.8144098039501917,0.0696146574931546,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
AL589740.1,0.0087198180425916,0.0087198180425916,0.626865114171235,0.0054661497328216,85.0,605.0,36.0,0.9947496718544908,0.96224764047753,0.9978123632727044,1.4104228472287708,0.1584148630593045,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
LINC01266,-0.0066236116202483,0.0066236116202483,0.8217052386168215,0.0054426563669213,161.0,104.0,37.0,0.989999374960935,0.993562097631102,0.9977498593662104,-1.0257476290711174,0.3050105574789938,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
AL078590.2,0.0135494184317315,0.0135494184317315,0.4008043923342987,0.0054306664210133,26.0,3192.0,38.0,0.998437402337646,0.8005500343771486,0.9976873554597162,2.177248135895774,0.0294620585604059,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
RPS6KA2,-0.0105465111277006,0.0105465111277006,0.5143709392516764,0.0054248188345836,51.0,1459.0,39.0,0.9968748046752922,0.9088693043315208,0.997624851553222,-1.6486104551504994,0.0992274654267724,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
FTH1,-0.0146642040787751,0.0146642040787751,0.3670841208482078,0.0053829964621958,19.0,3881.0,40.0,0.9988749296831052,0.7574848428026751,0.997562347646728,-2.302401831544705,0.0213125217864671,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
AL355835.1,0.0087732543997784,0.0087732543997784,0.6134453525736242,0.0053819121384902,81.0,675.0,41.0,0.9949996874804676,0.957872367022939,0.9974998437402338,1.4189072655498438,0.1559260538118616,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
