gene,effect_size,abs_coefficient,consistency_score,combined_score,effect_rank,consistency_rank,combined_rank,effect_percentile,consistency_percentile,combined_percentile,z_score,pvalue,padj,significant_moderate_effect,significant_strong_effect,significant_high_consistency,significant_moderate_combined,significant_strong_combined,significant_fdr,significant,significant_lenient,contrast,biology,priority,biological_context,analysis_priority,contrast_description
KIRREL3,0.0398033543570459,0.0398033543570459,0.5217296164158685,0.0207665888007664,1.0,1459.0,1.0,1.0,0.9088693043315208,1.0,5.835224703173773,5.3718123282919805e-09,8.594899725267169e-05,True,True,False,True,True,True,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
ESRRG,-0.0384794859550607,0.0384794859550607,0.4813547432690342,0.0185222830830226,2.0,1958.0,2.0,0.9999374960935058,0.8776798549909369,0.9999374960935058,-5.665861270248009,1.4628785072190452e-08,0.0001170302805775,True,True,False,True,True,True,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
CNDP1,-0.0350380946031568,0.0350380946031568,0.5056237341396211,0.0177160922303854,3.0,1665.0,3.0,0.9998749921870116,0.8959934995937247,0.9998749921870116,-5.160262116606721,2.4660432873524485e-07,0.0013152230865879,True,True,False,True,True,True,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
MTRNR2L12,-0.033332934754815,0.033332934754815,0.5222840729777282,0.0174092609280456,4.0,1450.0,4.0,0.9998124882805176,0.909431839489968,0.9998124882805176,-4.909745018146595,9.11948917270422e-07,0.0036477956690816,True,True,False,True,True,True,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
PLXDC2,0.0285099305464878,0.0285099305464878,0.5258272075659801,0.0149912971671597,5.0,1401.0,5.0,0.9997499843740234,0.9124945309081818,0.9997499843740234,4.176027902678661,2.9664344860513836e-05,0.0949259035536442,True,True,False,True,True,True,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
AC008771.1,-0.0219059111058122,0.0219059111058122,0.6451710448804558,0.0141330595571952,11.0,502.0,6.0,0.9993749609350584,0.968685542846428,0.9996874804675292,-3.2309201200778475,0.0012339241892032,0.9999962640752832,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
L3MBTL4,0.0206328565190887,0.0206328565190887,0.667328197882119,0.0137688869580438,13.0,405.0,7.0,0.99924995312207,0.974748421776361,0.9996249765610352,3.0187512217747576,0.0025381886405804,0.9999962640752832,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
CNTNAP4,0.0236217483423677,0.0236217483423677,0.5415156397151983,0.0127915461648086,7.0,1254.0,8.0,0.9996249765610352,0.9216826051628226,0.9995624726545408,3.4578704679305803,0.0005444630936422,0.9999962640752832,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
SVEP1,0.0221326638899881,0.0221326638899881,0.5522042648478137,0.0122217513924946,10.0,1147.0,9.0,0.9994374648415526,0.9283705231576972,0.9994999687480468,3.2390985347684316,0.0011990814085907,0.9999962640752832,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
SPRED1,-0.0203953408666387,0.0203953408666387,0.5802114908390231,0.0118336111304025,14.0,916.0,10.0,0.999187449215576,0.9428089255578472,0.9994374648415526,-3.008991557951578,0.002621163991396,0.9999962640752832,True,True,True,True,True,False,True,True,putamen_oud_effect,"Habit formation, motor control, addiction maintenance",HIGH,"Habit formation, motor control, addiction maintenance",HIGH,OUD effects on habit formation circuits
