contrast,pathway,activity_score,padj,analysis_type
OUD_vs_Control_Pooled,EGFR,13.86092012564065,2.19482862178748e-42,PROGENy_Pathway
OUD_vs_Control_Pooled,Estrogen,4.898606751401739,1.9421011573323095e-06,PROGENy_Pathway
OUD_vs_Control_Pooled,MAPK,10.504879864810144,6.47568886510851e-25,PROGENy_Pathway
OUD_vs_Control_Pooled,NFkB,8.321564109536526,2.549954909618769e-16,PROGENy_Pathway
OUD_vs_Control_Pooled,PI3K,9.628746632489051,3.0725570217227555e-21,PROGENy_Pathway
OUD_vs_Control_Pooled,TNFa,6.815156425193486,2.2456442826928084e-11,PROGENy_Pathway
OUD_vs_Control_Pooled,VEGF,9.339553364068825,3.651621152905175e-20,PROGENy_Pathway
OUD_vs_Control_Putamen,EGFR,16.48119706163715,1.4376452867214303e-59,PROGENy_Pathway
OUD_vs_Control_Putamen,Estrogen,4.946523750571474,1.5205431289576479e-06,PROGENy_Pathway
OUD_vs_Control_Putamen,JAK-STAT,2.428470300147581,0.026546592101825393,PROGENy_Pathway
OUD_vs_Control_Putamen,MAPK,10.507800404112082,6.27912149007012e-25,PROGENy_Pathway
OUD_vs_Control_Putamen,NFkB,10.415328252178785,1.1064180258933395e-24,PROGENy_Pathway
OUD_vs_Control_Putamen,PI3K,9.495641266717222,8.303493570906416e-21,PROGENy_Pathway
OUD_vs_Control_Putamen,TNFa,8.256826381546036,4.3878751818974954e-16,PROGENy_Pathway
OUD_vs_Control_Putamen,VEGF,6.259622804964212,9.146814730605374e-10,PROGENy_Pathway
OUD_vs_Control_Putamen,p53,2.1741973394692162,0.04619908531679837,PROGENy_Pathway
OUD_vs_Control_Caudate,EGFR,8.745738230112853,1.644009140028376e-17,PROGENy_Pathway
OUD_vs_Control_Caudate,Estrogen,3.795804436305381,0.0002950065994836424,PROGENy_Pathway
OUD_vs_Control_Caudate,MAPK,8.224451034539442,9.57898363919107e-16,PROGENy_Pathway
OUD_vs_Control_Caudate,NFkB,5.952562640720171,7.48717352280387e-09,PROGENy_Pathway
OUD_vs_Control_Caudate,PI3K,6.978955491919736,1.0661083281190099e-11,PROGENy_Pathway
OUD_vs_Control_Caudate,TNFa,5.672259538037425,3.3235871997836035e-08,PROGENy_Pathway
OUD_vs_Control_Caudate,VEGF,11.351286961646762,1.2048025002488367e-28,PROGENy_Pathway
OUD_vs_Control_Male,Androgen,-3.499333922174239,0.001090159760123542,PROGENy_Pathway
OUD_vs_Control_Male,EGFR,4.616457437512359,1.3728169908977412e-05,PROGENy_Pathway
OUD_vs_Control_Male,JAK-STAT,-3.7145343836088407,0.0005712250786729343,PROGENy_Pathway
OUD_vs_Control_Male,MAPK,-2.366203405469916,0.035957884605832706,PROGENy_Pathway
OUD_vs_Control_Male,TGFb,-4.745462004972388,9.760300758801574e-06,PROGENy_Pathway
OUD_vs_Control_Male,VEGF,-7.195662835381536,8.94067913192904e-12,PROGENy_Pathway
OUD_vs_Control_Male,p53,5.347211240350454,6.305728332765444e-07,PROGENy_Pathway
OUD_vs_Control_Female,Androgen,2.309795140123384,0.029270337422739996,PROGENy_Pathway
OUD_vs_Control_Female,EGFR,12.960690098761502,1.886645220016435e-37,PROGENy_Pathway
OUD_vs_Control_Female,Estrogen,4.110833555066041,6.920497354250795e-05,PROGENy_Pathway
OUD_vs_Control_Female,JAK-STAT,4.4580944519562715,1.660823883803752e-05,PROGENy_Pathway
OUD_vs_Control_Female,MAPK,12.90996680716891,2.4231382683319085e-37,PROGENy_Pathway
OUD_vs_Control_Female,NFkB,9.435778129440445,1.1756184048475371e-20,PROGENy_Pathway
OUD_vs_Control_Female,PI3K,11.278474721612278,6.880494059746547e-29,PROGENy_Pathway
OUD_vs_Control_Female,TGFb,2.3833049788318843,0.02670141165175828,PROGENy_Pathway
OUD_vs_Control_Female,TNFa,9.316883893700188,3.0126719487374784e-20,PROGENy_Pathway
OUD_vs_Control_Female,VEGF,14.609816473040278,5.312058413754419e-47,PROGENy_Pathway
OUD_Effect_Male_vs_Female,Androgen,-5.2396859644560285,2.2696568223500305e-07,PROGENy_Pathway
OUD_Effect_Male_vs_Female,EGFR,-14.793776368837028,8.976209125540501e-49,PROGENy_Pathway
OUD_Effect_Male_vs_Female,Estrogen,-4.6059852398889385,5.249811571576186e-06,PROGENy_Pathway
OUD_Effect_Male_vs_Female,Hypoxia,-7.786771704532122,1.2481969956902233e-14,PROGENy_Pathway
OUD_Effect_Male_vs_Female,JAK-STAT,-8.527707265398828,3.147266086289857e-17,PROGENy_Pathway
OUD_Effect_Male_vs_Female,MAPK,-13.960677688790604,1.0995159690805566e-43,PROGENy_Pathway
OUD_Effect_Male_vs_Female,NFkB,-18.193426160713884,2.3587619914335846e-72,PROGENy_Pathway
OUD_Effect_Male_vs_Female,PI3K,-13.39341959090502,2.1124913396868033e-40,PROGENy_Pathway
OUD_Effect_Male_vs_Female,TGFb,-6.312571041623837,4.3387411191519467e-10,PROGENy_Pathway
OUD_Effect_Male_vs_Female,TNFa,-16.67532670429528,2.942477474174582e-61,PROGENy_Pathway
OUD_Effect_Male_vs_Female,VEGF,-15.369762136330621,2.099798756845312e-52,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Putamen,Androgen,-5.329874290501148,1.3875231003836785e-07,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Putamen,EGFR,-14.784159642836983,1.3789672103607507e-48,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Putamen,Estrogen,-5.014338333544794,6.818020165179462e-07,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Putamen,Hypoxia,-7.417487148946535,2.153479303854737e-13,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Putamen,JAK-STAT,-8.44371972144271,6.467886047952851e-17,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Putamen,MAPK,-13.418161124529915,1.8202983052814624e-40,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Putamen,NFkB,-17.29630586245075,1.675548449986607e-65,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Putamen,PI3K,-12.364636676021911,1.1917798101931398e-34,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Putamen,TGFb,-5.560242869413873,4.232286990959984e-08,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Putamen,TNFa,-15.634954980698339,5.273246112019228e-54,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Putamen,VEGF,-14.3803736727841,3.652734031348177e-46,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Caudate,Androgen,-4.252547256925638,2.9693853085197713e-05,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Caudate,EGFR,-12.20690694196556,1.2428935457419619e-33,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Caudate,Estrogen,-3.0752787503162917,0.002679429262935516,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Caudate,Hypoxia,-9.071242378777452,2.51723956731142e-19,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Caudate,JAK-STAT,-8.051363239329927,1.4944007255402499e-15,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Caudate,MAPK,-11.305408559872156,4.05753544665218e-29,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Caudate,NFkB,-18.29666303211049,3.653535163203161e-73,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Caudate,PI3K,-10.528987620297148,1.6732148610837297e-25,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Caudate,TGFb,-6.171438408079124,1.0683955535793615e-09,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Caudate,TNFa,-16.618745523339925,7.49660539912342e-61,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Caudate,VEGF,-14.113165068380919,2.167211666204634e-44,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Caudate,WNT,2.62551996680522,0.01009959743929044,PROGENy_Pathway
OUD_Effect_Male_vs_Female_Caudate,p53,-2.2847648698663723,0.024052786334159696,PROGENy_Pathway
Control_Effect_Male_vs_Female,EGFR,-8.337311925676222,3.7219563496193234e-16,PROGENy_Pathway
Control_Effect_Male_vs_Female,Hypoxia,-11.509559763153934,1.9647303488396143e-29,PROGENy_Pathway
Control_Effect_Male_vs_Female,NFkB,-10.355104125293654,3.1114580495546928e-24,PROGENy_Pathway
Control_Effect_Male_vs_Female,PI3K,-2.5768061251452417,0.019954623339891966,PROGENy_Pathway
Control_Effect_Male_vs_Female,TNFa,-6.270796822752831,1.0217753457809516e-09,PROGENy_Pathway
Control_Effect_Male_vs_Female,Trail,-2.48693694868495,0.022559459092295092,PROGENy_Pathway
Control_Effect_Male_vs_Female,VEGF,5.761836579368075,1.9635778906986985e-08,PROGENy_Pathway
Control_Effect_Male_vs_Female,p53,-8.0511761585228,2.9933627270107123e-15,PROGENy_Pathway
Control_Effect_Male_vs_Female_Putamen,Hypoxia,-8.798203852933048,2.066001440310915e-17,PROGENy_Pathway
Control_Effect_Male_vs_Female_Putamen,NFkB,-3.649993819164237,0.001226242194451642,PROGENy_Pathway
Control_Effect_Male_vs_Female_Putamen,PI3K,-3.4088188602637106,0.002287072304220946,PROGENy_Pathway
Control_Effect_Male_vs_Female_Putamen,VEGF,4.407182661478539,7.360341076681515e-05,PROGENy_Pathway
