contrast,analysis_type,n_significant,top_positive,top_positive_score,top_negative,top_negative_score
OUD_vs_Control_Pooled,Transcription_Factor,3,REL,3.819425885073989,STAT5A,-4.101638087365113
OUD_vs_Control_Putamen,Transcription_Factor,1,REL,4.271834671669698,REL,4.271834671669698
OUD_vs_Control_Caudate,Transcription_Factor,10,REL,3.6453565689871876,TBX1,-3.800422234788388
OUD_vs_Control_Male,Transcription_Factor,51,ZNF382,3.2306212207238922,MYC,-6.228047256813168
OUD_vs_Control_Female,Transcription_Factor,26,MYC,7.898490160761918,EBF3,-4.109230307915629
OUD_Effect_Male_vs_Female,Transcription_Factor,161,KDM5D,6.6752341331049525,STAT1,-10.411659133811003
OUD_Effect_Male_vs_Female_Putamen,Transcription_Factor,197,KDM5D,6.00292471194203,STAT1,-11.104673996797343
OUD_Effect_Male_vs_Female_Caudate,Transcription_Factor,170,KDM5D,6.457790150767985,STAT3,-10.478534331250765
Control_Effect_Male_vs_Female,Transcription_Factor,3,KDM5D,7.51648288452414,REST,5.510096001207608
Control_Effect_Male_vs_Female_Putamen,Transcription_Factor,4,KDM5D,7.199519586091839,KLF11,-4.552162989857502
OUD_vs_Control_Pooled,PROGENy_Pathway,7,EGFR,13.86092012564065,Estrogen,4.898606751401739
OUD_vs_Control_Putamen,PROGENy_Pathway,9,EGFR,16.48119706163715,p53,2.1741973394692162
OUD_vs_Control_Caudate,PROGENy_Pathway,7,VEGF,11.351286961646762,Estrogen,3.795804436305381
OUD_vs_Control_Male,PROGENy_Pathway,7,p53,5.347211240350454,VEGF,-7.195662835381536
OUD_vs_Control_Female,PROGENy_Pathway,10,VEGF,14.609816473040278,Androgen,2.309795140123384
OUD_Effect_Male_vs_Female,PROGENy_Pathway,11,Estrogen,-4.6059852398889385,NFkB,-18.193426160713884
OUD_Effect_Male_vs_Female_Putamen,PROGENy_Pathway,11,Estrogen,-5.014338333544794,NFkB,-17.29630586245075
OUD_Effect_Male_vs_Female_Caudate,PROGENy_Pathway,13,WNT,2.62551996680522,NFkB,-18.29666303211049
Control_Effect_Male_vs_Female,PROGENy_Pathway,8,VEGF,5.761836579368075,Hypoxia,-11.509559763153934
Control_Effect_Male_vs_Female_Putamen,PROGENy_Pathway,4,VEGF,4.407182661478539,Hypoxia,-8.798203852933048
OUD_vs_Control_Pooled,Hallmark_Gene_Set,15,TNFA_SIGNALING_VIA_NFKB,6.403118141592262,UV_RESPONSE_DN,-5.895420266645043
OUD_vs_Control_Putamen,Hallmark_Gene_Set,13,TNFA_SIGNALING_VIA_NFKB,6.944653462255105,MITOTIC_SPINDLE,-5.212384746841342
OUD_vs_Control_Caudate,Hallmark_Gene_Set,15,MYC_TARGETS_V1,6.0209637195166765,UV_RESPONSE_DN,-6.176966953784219
OUD_vs_Control_Male,Hallmark_Gene_Set,41,COAGULATION,-2.0947553251286655,IL2_STAT5_SIGNALING,-6.63395499963658
OUD_vs_Control_Female,Hallmark_Gene_Set,26,MYC_TARGETS_V1,10.532510798052787,UV_RESPONSE_DN,-4.940043045965354
OUD_Effect_Male_vs_Female,Hallmark_Gene_Set,35,UV_RESPONSE_DN,2.786657386635781,TNFA_SIGNALING_VIA_NFKB,-17.119274320454924
OUD_Effect_Male_vs_Female_Putamen,Hallmark_Gene_Set,37,UV_RESPONSE_DN,2.510593074150138,TNFA_SIGNALING_VIA_NFKB,-18.235373146447333
OUD_Effect_Male_vs_Female_Caudate,Hallmark_Gene_Set,34,UV_RESPONSE_DN,2.4488523874005894,TNFA_SIGNALING_VIA_NFKB,-17.01421660189568
Control_Effect_Male_vs_Female,Hallmark_Gene_Set,15,MYC_TARGETS_V1,5.999928698096806,EPITHELIAL_MESENCHYMAL_TRANSITION,-3.7022800183206033
Control_Effect_Male_vs_Female_Putamen,Hallmark_Gene_Set,8,MYC_TARGETS_V1,4.307490435521312,UV_RESPONSE_DN,-4.0108998200616215
