Disease_Pair,Correlation
LBD vs No Neuropathology,0.9900232246719438
LBD vs MS,0.9885206404182545
MS vs No Neuropathology,0.9830631638280198
Epilepsy vs AD,0.9695542579300896
ASD vs MS,0.9608324063558763
AD vs No Neuropathology,0.9527571289156106
ASD vs LBD,0.9338114315498439
LBD vs AD,0.9297016267924146
ASD vs No Neuropathology,0.9104101334044246
MS vs AD,0.8857635076347966
Epilepsy vs No Neuropathology,0.8610938714678021
LBD vs Epilepsy,0.8451924995361554
ASD vs COVID-19,0.8039783416291506
COVID-19 vs MS,0.7922735194661743
ASD vs AD,0.7847532393577131
Epilepsy vs MS,0.7696061841363946
COVID-19 vs No Neuropathology,0.7038187423343575
COVID-19 vs LBD,0.6961348163129213
ASD vs Epilepsy,0.6689545699444104
COVID-19 vs AD,0.4675823670910051
COVID-19 vs Epilepsy,0.25681277085005266
