gene,mean_group1,mean_group2,log_fold_change,abs_log_fold_change,t_statistic,pvalue,padj,significant
LINC00486,84.061874,105.94101,21.879135,21.879135,-16.720109707642706,1.630041716795987e-55,1.6300417167959871e-52,True
ATXN1,6.771391,5.3722095,-1.3991814,1.3991814,15.030622053210879,3.5052254590387016e-46,1.7526127295193507e-43,True
ZBTB16,2.2407994,1.1601579,-1.0806415,1.0806415,14.971097876022691,7.286939703840722e-46,2.4289799012802403e-43,True
LINC01572,0.969651,1.8874207,0.9177697,0.9177697,-14.841229077265927,3.574686787446473e-45,8.936716968616182e-43,True
PWRN1,5.1017365,2.0019095,-3.099827,3.099827,14.328830210748636,1.741588710625593e-42,3.483177421251186e-40,True
PDE1A,12.237957,4.7928357,-7.4451213,7.4451213,14.207486744225909,7.387482732438456e-42,1.2312471220730759e-39,True
ANKUB1,0.9441624,1.8829182,0.9387558,0.9387558,-12.867846786473017,3.6025976671356276e-35,5.1465680959080394e-33,True
ZDHHC20,3.4100692,2.1068702,-1.303199,1.303199,12.609532784808584,6.212749059876065e-34,7.344542960447932e-32,True
EIF4G3,6.1449466,5.0923448,-1.0526018,1.0526018,12.603867317341825,6.610088664403138e-34,7.344542960447932e-32,True
ADARB2,3.2937212,5.7684093,2.474688,2.474688,-12.545293421620828,1.2533030002385453e-33,1.2533030002385454e-31,True
FMN1,0.36352938,2.003731,1.6402016,1.6402016,-12.5030842328212,1.984740993429333e-33,1.8043099940266665e-31,True
PCDH9-AS2,2.2952616,4.546257,2.2509954,2.2509954,-12.311006995018074,1.5852788919498576e-32,1.321065743291548e-30,True
AP003086.1,0.92033494,1.7919313,0.87159634,0.87159634,-12.227327214188227,3.891198807837631e-32,2.9932298521827932e-30,True
AL359091.1,1.547133,2.8189232,1.2717903,1.2717903,-11.068598041163762,6.114399342865383e-27,4.367428102046702e-25,True
FTH1,2.629321,4.5806975,1.9513764,1.9513764,-11.057445449628144,6.83073302155448e-27,4.553822014369654e-25,True
DDX5,2.8249106,3.8185728,0.9936621,0.9936621,-10.805854075018173,8.127103595770381e-26,5.079439747356488e-24,True
MIR100HG,5.4164214,6.754292,1.3378706,1.3378706,-10.38934729133826,4.446227552462443e-24,2.615427972036731e-22,True
AC061958.1,0.59149206,1.1477749,0.5562829,0.5562829,-10.14452349992355,4.4107524255674043e-23,2.4504180142041136e-21,False
SGMS1,5.2357063,3.9918883,-1.243818,1.243818,9.484571137131514,1.720803113890853e-20,9.056858494162385e-19,True
WWOX,13.2840185,11.541249,-1.7427692,1.7427692,9.398399514978221,3.661422079218715e-20,1.8307110396093576e-18,True
FHIT,10.767684,9.3350315,-1.4326525,1.4326525,9.319906540653443,7.248049061255673e-20,3.4514519339312726e-18,True
ELMO1,21.75939,16.845495,-4.9138947,4.9138947,9.270749380556653,1.1089602499312386e-19,5.040728408778358e-18,True
MALAT1,221.12482,264.4372,43.312378,43.312378,-9.247696556018973,1.352866990510563e-19,5.882030393524187e-18,True
AL139294.1,0.8336864,1.5057946,0.67210823,0.67210823,-9.187031141778018,2.278350632814815e-19,9.493127636728395e-18,True
JMJD1C,7.0087924,6.252532,-0.7562604,0.7562604,9.115789595181647,4.186830862205826e-19,1.6747323448823302e-17,True
ABCA8,4.0449543,2.8912587,-1.1536956,1.1536956,9.051745159203309,7.211176923184063e-19,2.7735295858400244e-17,True
BCAS3,6.643238,5.84897,-0.79426813,0.79426813,8.905763232532154,2.460770591858055e-18,9.075871128693007e-17,True
PTPRJ,5.3639874,3.751506,-1.6124814,1.6124814,8.901909430416298,2.541243916034042e-18,9.075871128693007e-17,True
LMCD1-AS1,5.732237,7.288414,1.5561771,1.5561771,-8.791821294375046,6.340775453232995e-18,2.186474294218274e-16,True
AC008771.1,1.4810877,2.317105,0.8360174,0.8360174,-8.785914150951344,6.657845964931436e-18,2.2192819883104786e-16,True
ENTPD1-AS1,2.2561488,2.8933496,0.63720083,0.63720083,-8.573383417663592,3.7831941326683534e-17,1.2203852040865657e-15,True
NTM,10.241846,15.5895195,5.3476734,5.3476734,-8.460802037868893,9.359954297107585e-17,2.92498571784612e-15,True
TBC1D5,7.131091,6.370748,-0.7603431,0.7603431,8.375506088396879,1.846841422634739e-16,5.596489159499209e-15,True
AL078590.2,1.2168933,1.7037549,0.4868616,0.4868616,-8.113435568729683,1.4370808907872932e-15,4.226708502315568e-14,False
CDC14B,4.2187443,3.5507953,-0.66794896,0.66794896,7.957448025483093,4.747153712279766e-15,1.3563296320799331e-13,True
FNIP2,3.1000402,2.4007683,-0.6992719,0.6992719,7.628448803704837,5.530208623437829e-14,1.5361690620660638e-12,True
CPQ,4.1332564,3.5180352,-0.61522126,0.61522126,7.608391423049405,6.404733109730117e-14,1.7310089485757074e-12,True
RABGAP1L,5.2575793,4.497033,-0.7605462,0.7605462,7.547883311715293,9.953453930590512e-14,2.619329981734345e-12,True
SGCD,2.8506246,1.8372729,-1.0133517,1.0133517,7.526741125705843,1.1602901530762964e-13,2.9751029566058884e-12,True
TMEFF1,2.9512548,2.29841,-0.6528449,0.6528449,7.460766202196207,1.867832855798084e-13,4.66958213949521e-12,True
DLG1,10.285355,13.208986,2.9236317,2.9236317,-7.442510698410894,2.1294893267653512e-13,5.1938764067447584e-12,True
FRY,3.9873345,2.433872,-1.5534625,1.5534625,7.400884379531636,2.868500414646733e-13,6.82976289201603e-12,True
AC110285.1,1.9540771,2.6686034,0.7145263,0.7145263,-7.3325348933079635,4.663743236860742e-13,1.0845914504327308e-11,True
GPM6B,13.876512,11.181994,-2.6945171,2.6945171,7.218402958036499,1.04094216572192e-12,2.3657776493680002e-11,True
SHTN1,15.992457,12.943801,-3.0486565,3.0486565,7.1398787958343135,1.7971303160412263e-12,3.993622924536058e-11,True
SDCCAG8,4.2943907,3.7209654,-0.5734253,0.5734253,7.063260301987884,3.046547092494726e-12,6.622928461945056e-11,False
FKBP5,0.87971014,0.3916591,-0.48805103,0.48805103,7.025455681095455,3.9456719283273865e-12,8.395046656015716e-11,False
NUTM2A-AS1,3.8778079,4.722247,0.84443927,0.84443927,-6.97677185987323,5.495194066702879e-12,1.1448320972297665e-10,True
TMEM132C,1.7729442,2.5871084,0.81416416,0.81416416,-6.9530093333891285,6.4548473196425485e-12,1.3102793352116602e-10,True
