Contrast,Database,Pathway,pvalue,p.adjust,GeneRatio,neg_log10_pvalue,neg_log10_padj,pathway_short,contrast_clean,database_clean
OUD_Effect_Male_vs_Female,C3_Motif,MIR5680,1.6774414262509243e-10,5.379554653986714e-7,100/2151,9.775352635808828,6.269253675880387,MIR5680,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR6885_3P,7.178398949656228e-8,1.1510562715773762e-4,82/2151,7.143972408803066,3.938903444538607,MIR6885_3P,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR4306,1.6019081396784334e-7,1.4682802438053684e-4,87/2151,6.795362391856401,3.833191044745174,MIR4306,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,CEBPB_02,1.8313442392333876e-7,1.4682802438053684e-4,57/2151,6.737230013345652,3.833191044745174,CEBPB_02,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,RGAANNTTC_HSF1_01,7.247354501719869e-7,4.648453177403124e-4,84/2151,6.139820494804904,3.3326915392124823,RGAANNTTC_HSF1_01,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR4644,1.0923803272256926e-6,5.553987903858613e-4,59/2151,5.961626129709765,3.2553950704433734,MIR4644,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR1250_3P,1.2122829849395164e-6,5.553987903858613e-4,92/2151,5.9163959903575565,3.2553950704433734,MIR1250_3P,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR302E,1.4523201012324142e-6,5.82198820581544e-4,89/2151,5.837937651626639,3.234928678690142,MIR302E,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR3133,3.2633516201843087e-6,0.0010516404771838926,92/2151,5.486336129252719,2.9781327064385366,MIR3133,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR545_5P,3.279203234125016e-6,0.0010516404771838926,63/2151,5.484231666366977,2.9781327064385366,MIR545_5P,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C7_Immunologic,GSE7219_WT_VS_NIK_NFKB2_KO_DC_UP,4.430581944064367e-11,1.0267889058047381e-7,54/2013,10.353539226712101,6.988518832417631,GSE7219_WT_VS_NIK_NFKB2_KO_DC_UP,OUD Effect Male vs Female,C7 Immunologic
OUD_Effect_Male_vs_Female,C7_Immunologic,GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN,4.462821896747013e-11,1.0267889058047381e-7,49/2013,10.350390444730923,6.988518832417631,GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCE...,OUD Effect Male vs Female,C7 Immunologic
OUD_Effect_Male_vs_Female,C7_Immunologic,GSE29618_MONOCYTE_VS_PDC_UP,6.322591784511934e-11,1.0267889058047381e-7,57/2013,10.199104857322787,6.988518832417631,GSE29618_MONOCYTE_VS_PDC_UP,OUD Effect Male vs Female,C7 Immunologic
OUD_Effect_Male_vs_Female,C7_Immunologic,GSE37416_CTRL_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_DN,1.0721764580264504e-10,1.3059109258762167e-7,55/2013,9.969733732888974,6.884086444592117,GSE37416_CTRL_VS_12H_F_TULARENSIS_LVS_NEUTROPHI...,OUD Effect Male vs Female,C7 Immunologic
OUD_Effect_Male_vs_Female,C7_Immunologic,GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP,5.945583531702586e-10,5.143574176234105e-7,55/2013,9.225805514945742,6.288734992760088,GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP,OUD Effect Male vs Female,C7 Immunologic
OUD_Effect_Male_vs_Female,C7_Immunologic,GSE42021_TREG_PLN_VS_CD24INT_TREG_THYMUS_UP,6.334450955953331e-10,5.143574176234105e-7,54/2013,9.198291022001264,6.288734992760088,GSE42021_TREG_PLN_VS_CD24INT_TREG_THYMUS_UP,OUD Effect Male vs Female,C7 Immunologic
OUD_Effect_Male_vs_Female,C7_Immunologic,GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_NIK_NFKB2_KO_DC_DN,1.6490864271490864e-9,1.1477641532957641e-6,52/2013,8.782756582772501,5.940147343161939,GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_NIK_NF...,OUD Effect Male vs Female,C7 Immunologic
OUD_Effect_Male_vs_Female,C7_Immunologic,GSE21360_NAIVE_VS_PRIMARY_MEMORY_CD8_TCELL_UP,6.719509593589338e-9,4.092181342495907e-6,46/2013,8.172662421673822,5.388045129040946,GSE21360_NAIVE_VS_PRIMARY_MEMORY_CD8_TCELL_UP,OUD Effect Male vs Female,C7 Immunologic
OUD_Effect_Male_vs_Female,C7_Immunologic,GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_DN,1.0650419653132708e-8,5.765427172229173e-6,51/2013,7.972633279600906,5.239168509415412,GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_DN,OUD Effect Male vs Female,C7 Immunologic
