gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
SLAIN1,-1.4505103400550547,9.967061306426574,1.322408287416879e-7,0.00144033070939898,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
STMN4,-2.7634614974257428,6.2464692500901515,2.2906833564193919e-7,0.00144033070939898,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
SAMD4B,-1.5014405968141025,7.541754542426411,2.686933196138052e-7,0.00144033070939898,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
ALDH3A2,-1.781737173397299,6.2112708061225925,2.739521282332222e-7,0.00144033070939898,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
ERBIN,-1.265834895506091,10.520516915729184,4.225629733392841e-7,0.00146272149394985,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
CNDP1,-1.557666354772711,9.46469559201218,4.301860783276998e-7,0.00146272149394985,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
ZNF708,-1.352462611515506,8.21887713797439,5.676855334030217e-7,0.00157954303937152,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
SLC11A1,-3.699065461729819,4.198736637916798,6.080313478159173e-7,0.00157954303937152,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC131944.1,-2.8335983339988444,5.402873889666313,7.297782762265286e-7,0.00157954303937152,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
KLF9,-2.3602145583299805,5.77941565477535,7.545740026172875e-7,0.00157954303937152,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
CARS,-1.429063462803816,5.997395488731119,7.811191232436799e-7,0.00157954303937152,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
TLL2,-1.9329895331797056,4.778684294730273,1.0449112005974792e-6,0.0017909969844783,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
PIP4K2A,-1.0731610096872,11.137153412939233,1.0900772881791243e-6,0.0017909969844783,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
SLC2A3,-4.242856187011617,5.27206256145378,1.1644707632745382e-6,0.00179489960818524,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
SH3PXD2B,-1.4614673725115808,7.175090532296545,1.2290091656776635e-6,0.00179489960818524,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
SPOCK1,-1.0757666006120754,10.21429842261348,1.378305618058877e-6,0.00188014925665892,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
EVA1C,-1.152711670760939,7.7689290834016465,1.4304239627654643e-6,0.00188014925665892,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
STAT3,-1.72218704312388,6.7736255363170965,1.9079412940357927e-6,0.00193655678985829,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
ZDHHC11,-1.6992191120657658,4.891831317091614,2.08221679664529e-6,0.0019716362390356,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
PDK1,-2.088314744320557,4.865439287432509,2.1891512565057858e-6,0.0019716362390356,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
SRGN,-3.2734483385994424,5.027371631852484,2.2057459498177176e-6,0.0019716362390356,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
