gene,interaction_coef,abs_interaction_coef,interaction_pvalue,interaction_padj,significant,coefficient_female,coefficient_male
LINC00882,0.08460788035486541,0.08460788035486541,0.0,0.0,True,-0.051808302290412674,0.032799578064452745
DPP10,0.07692156125003295,0.07692156125003295,7.43345479230495e-05,0.0049556365282033,True,-0.015776896620678653,0.0611446646293543
LRRTM4,0.07689627675817405,0.07689627675817405,1.428385245638708e-07,1.785481557048385e-05,True,-0.02095198288046367,0.055944293877710376
LMCD1-AS1,0.05330192096410039,0.05330192096410039,0.0002308462961326807,0.017313472209951053,True,-0.04048631277027323,0.01281560819382716
CTNNA2,-0.04915002964350716,0.04915002964350716,9.20572507112638e-11,2.301431267781595e-08,True,0.02580172843041704,-0.023348301213090127
HIVEP3,-0.04846360270731116,0.04846360270731116,1.0145348339207771e-08,1.6018971061907007e-06,True,0.022810506924819642,-0.025653095782491524
FIGN,0.04784742273564918,0.04784742273564918,4.727553538641516e-06,0.000429777594421956,True,-0.0182241298680153,0.02962329286763388
AC012494.1,0.04725007324106921,0.04725007324106921,2.97459612497164e-10,6.374134553510657e-08,True,-0.02508752761491767,0.022162545626151536
AC006059.1,0.04488961728999606,0.04488961728999606,1.2884342059926723e-07,1.680566355642616e-05,True,-0.026513420449938156,0.018376196840057903
LTBP1,0.03313600554864389,0.03313600554864389,0.000370883123940402,0.02713778955661478,True,-0.02074719834903196,0.012388807199611933
LRRC7,-0.017876507021940973,0.017876507021940973,1.4163832207092497e-05,0.0011803193505910414,True,-0.01728745358450327,-0.03516396060644424
RBMS3,-0.002630566310678064,0.002630566310678064,3.675104665035178e-11,1.0023012722823214e-08,True,-0.02634794137180551,-0.028978507682483574
