category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,fold_enrichment,ci_lower,ci_upper
Human Diseases,Substance dependence,hsa05033,Nicotine addiction,15/889,40/7103,0.375,2.996203599550056,4.788459481679041,4.954448120914663e-5,0.009166326704211388,0.00831020796426831,GABRB1/GABRG2/GRIN1/GABRD/GABRA2/GABRA3/GABRG1/SLC32A1/GABRA4/GABRG3/GRIN2B/GRIA1/CHRNB2/GABRB3/GABRA1,15,8.227643419572553,4.528022753963688,14.950038884053361
NA,NA,hsa04082,Neuroactive ligand signaling,42/889,183/7103,0.22950819672131148,1.8337420937136957,4.321751746966818,5.298454742318721e-5,0.009166326704211388,0.00831020796426831,P2RY14/GABRB1/GABRG2/GNAO1/TACR1/GNB3/P2RY13/GRIN1/GNAI1/P2RY12/GABRD/CHRM5/PENK/GABRA2/PRKCG/GRIK4/GABRA3/OPRM1/ADORA1/GABRG1/SLC1A2/PLCB1/SLC32A1/ADORA2A/ADCY3/GNG3/HTR2B/GABRA4/GABRG3/GRIN2B/GRIK2/ADRB1/HRH2/GRIA1/CHRNB2/CHRM1/PDYN/GRIK1/GABRB3/GNAL/SLC1A6/GABRA1,42,5.03549761197883,3.576887500726512,7.088910734568622
Organismal Systems,Nervous system,hsa04727,GABAergic synapse,24/889,86/7103,0.27906976744186046,2.229732911293065,4.3395018071639,9.293489823769327e-5,0.009540974832028998,0.008649864618024465,GABRB1/GABRG2/GNAO1/GNB3/GNAI1/GABRD/PLCL1/GLUL/GABRA2/SLC12A5/PRKCG/GABRA3/GABRG1/GLS2/SLC32A1/ADCY3/GNG3/GABRA4/GABRG3/GAD2/CACNA1D/NSF/GABRB3/GABRA1,24,6.122897428519109,3.8751788593596896,9.674359373017563
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,27/889,103/7103,0.2621359223300971,2.0944335841514956,4.2316972948520135,1.1279686506406051e-4,0.009540974832028998,0.008649864618024465,STAT3/PDK1/PGK1/VEGFA/PFKFB3/HMOX1/HK2/HIF1A/IGF1/TFRC/CDKN1A/CAMK2D/PRKCG/ENO1/ANGPT2/EGLN1/LDHA/EIF4EBP1/SLC2A1/LDHC/MKNK2/RELA/TLR4/ENO2/PFKL/CAMK2G/HK1,27,5.751362390380814,3.7448132663068052,8.833062423459403
Human Diseases,Substance dependence,hsa05032,Morphine addiction,24/889,88/7103,0.2727272727272727,2.179057163309132,4.2093782194871165,1.378753588443497e-4,0.009540974832028998,0.008649864618024465,GABRB1/GABRG2/GNAO1/GNB3/GNAI1/GABRD/PDE8B/GABRA2/PDE4D/PDE7B/PRKCG/GABRA3/OPRM1/ADORA1/GABRG1/SLC32A1/ADCY3/GNG3/GABRA4/GABRG3/ARRB1/GRK4/GABRB3/GABRA1,24,5.9837406687800385,3.7913164951861904,9.443989294134044
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,35/889,156/7103,0.22435897435897437,1.7926004441752474,3.7859384673992214,3.4735617063160395e-4,0.020030872506422492,0.018160024359336488,ZBTB16/PROM1/GADD45B/NFKBIZ/DOT1L/BCL6/ETV6/TSPAN7/JMJD1C/IGF1/CDKN1A/BCL2L1/SS18L1/BCL2A1/RARA/RUNX1/ETV1/CEBPA/PTK2/PDGFA/SLC45A3/CD14/RXRG/MAF/BAIAP3/PPARG/RELA/CCNA2/KDM6A/ZEB1/LMO2/ELK4/ITGB7/FCGR1A/TFE3,35,4.922521704017767,3.3909932248048635,7.145758873617443
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecules,33/889,151/7103,0.2185430463576159,1.7461318990755295,3.505135323600969,8.290607027336266e-4,0.04097928616369068,0.037151893145055744,NRXN1/ITGB8/PTPRF/NCAM2/NFASC/JAM2/CLDN11/PTPRM/SELPLG/IGSF11/JAM3/HLA-DMB/CD22/LRRC4/SELL/MADCAM1/NECTIN2/TIGIT/ITGA4/SLITRK5/CDH4/NRXN3/CLDN10/MPZ/NECTIN3/NLGN4X/LRRC4C/CLDN15/ITGB7/CLDN20/CTLA4/CADM3/PECAM1,33,4.794918019353541,3.2705934882588,7.029684029781816
Metabolism,Carbohydrate metabolism,hsa00010,Glycolysis / Gluconeogenesis,16/889,61/7103,0.26229508196721313,2.0957052499585096,3.250620273767977,0.0026965363245857565,0.09882952985519255,0.0895990261540839,ALDH3A2/PGK1/HK2/ENO1/ALDH3A1/LDHA/PCK1/LDHC/ENO2/ENO4/PFKL/ADH1A/HK1/ADH4/GAPDHS/TPI1,16,5.754854413690093,3.3049820082254637,10.020735132700613
Human Diseases,Cardiovascular disease,hsa05414,Dilated cardiomyopathy,23/889,101/7103,0.22772277227722773,1.8194767733241266,3.137197587941253,0.0028021145119504123,0.09882952985519255,0.0895990261540839,SGCZ/CACNB4/ITGB8/LMNA/ITGB4/TPM4/SLC8A1/IGF1/ITGB3/LAMA1/TGFB3/CACNG3/ADCY3/SSPN/ITGA4/SNTB2/CACNG2/LAMA2/ADRB1/ITGA2/CACNA1D/ITGB7/CACNG4,23,4.996324716836138,3.161047825640201,7.897147418518401
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,52/889,285/7103,0.1824561403508772,1.457801985278156,2.9835079075578186,0.002856344793502675,0.09882952985519255,0.0895990261540839,FGF20/CACNB4/PAK2/GADD45B/DUSP1/EFNA5/IL1B/VEGFA/FGFR3/STK3/EFNA1/HSPA1A/MAP3K5/HSPA1B/MAP2K4/IGF1/FOS/PPM1B/RAP1A/PDGFRA/FGFR2/PDGFRB/VEGFD/PRKCG/RASGRP1/DUSP3/BDNF/JUN/MAP2K3/ANGPT2/TGFB3/PDGFA/CACNG3/CD14/GRB2/MKNK2/TGFBR1/CSF1/HSPB1/RELA/CACNG2/GNA12/ARRB1/IL1RAP/IL1A/TRAF6/FLNA/CACNA1D/ELK4/CACNG4/PTPRR/RPS6KA3,52,4.003157500049336,2.956409319148068,5.420518013662317
