ensembl_id	original_id	gene_symbol	final_name
ENSG00000000003	ENSG00000000003	TSPAN6	TSPAN6
ENSG00000000005	ENSG00000000005	TNMD	TNMD
ENSG00000000419	ENSG00000000419	DPM1	DPM1
ENSG00000000457	ENSG00000000457	SCYL3	SCYL3
ENSG00000000460	ENSG00000000460	FIRRM	FIRRM
ENSG00000000938	ENSG00000000938	FGR	FGR
ENSG00000000971	ENSG00000000971	CFH	CFH
ENSG00000001036	ENSG00000001036	FUCA2	FUCA2
ENSG00000001084	ENSG00000001084	GCLC	GCLC
ENSG00000001167	ENSG00000001167	NFYA	NFYA
ENSG00000001460	ENSG00000001460	STPG1	STPG1
ENSG00000001461	ENSG00000001461	NIPAL3	NIPAL3
ENSG00000001497	ENSG00000001497	LAS1L	LAS1L
ENSG00000001561	ENSG00000001561	ENPP4	ENPP4
ENSG00000001617	ENSG00000001617	SEMA3F	SEMA3F
ENSG00000001626	ENSG00000001626	CFTR	CFTR
ENSG00000001629	ENSG00000001629	ANKIB1	ANKIB1
ENSG00000001630	ENSG00000001630	CYP51A1	CYP51A1
ENSG00000001631	ENSG00000001631	KRIT1	KRIT1
ENSG00000002016	ENSG00000002016	RAD52	RAD52
ENSG00000002079	ENSG00000002079	MYH16	MYH16
ENSG00000002330	ENSG00000002330	BAD	BAD
ENSG00000002549	ENSG00000002549	LAP3	LAP3
ENSG00000002586	ENSG00000002586	CD99	CD99
ENSG00000002587	ENSG00000002587	HS3ST1	HS3ST1
ENSG00000002726	ENSG00000002726	AOC1	AOC1
ENSG00000002745	ENSG00000002745	WNT16	WNT16
ENSG00000002746	ENSG00000002746	HECW1	HECW1
ENSG00000002822	ENSG00000002822	MAD1L1	MAD1L1
ENSG00000002834	ENSG00000002834	LASP1	LASP1
ENSG00000002919	ENSG00000002919	SNX11	SNX11
ENSG00000002933	ENSG00000002933	TMEM176A	TMEM176A
ENSG00000003056	ENSG00000003056	M6PR	M6PR
ENSG00000003096	ENSG00000003096	KLHL13	KLHL13
ENSG00000003137	ENSG00000003137	CYP26B1	CYP26B1
ENSG00000003147	ENSG00000003147	ICA1	ICA1
ENSG00000003249	ENSG00000003249	DBNDD1	DBNDD1
ENSG00000003393	ENSG00000003393	ALS2	ALS2
ENSG00000003400	ENSG00000003400	CASP10	CASP10
ENSG00000003402	ENSG00000003402	CFLAR	CFLAR
ENSG00000003436	ENSG00000003436	TFPI	TFPI
ENSG00000003509	ENSG00000003509	NDUFAF7	NDUFAF7
