contrast,contrast_type,pathway,activity,padj
Sex_Oud_Interaction,DESeq2_Compatible,Androgen,-1.3751921953321795,0.11785714285714285
Sex_Oud_Interaction,DESeq2_Compatible,EGFR,-1.2579777805420775,0.11785714285714285
Sex_Oud_Interaction,DESeq2_Compatible,Estrogen,-1.2895883005276756,0.1343804537521815
Sex_Oud_Interaction,DESeq2_Compatible,Hypoxia,-1.2854343178064132,0.11785714285714285
Sex_Oud_Interaction,DESeq2_Compatible,NFkB,-1.2528500541623666,0.11785714285714285
Sex_Oud_Interaction,DESeq2_Compatible,TNFa,-1.2438310196858595,0.1343804537521815
Male_Vs_Female,DESeq2_Compatible,MAPK,1.3663555077404617,0.08203125
Male_Vs_Female,DESeq2_Compatible,PI3K,1.3290241172576513,0.0
Oud_Vs_Control_Female,DESeq2_Compatible,Hypoxia,1.34922482460127,0.168
Oud_Vs_Control_Female,DESeq2_Compatible,NFkB,1.2358100639841862,0.399746192893401
Oud_Vs_Control_Male,DESeq2_Compatible,EGFR,-1.234059405804194,0.11241217798594848
Oud_Vs_Control_Male,DESeq2_Compatible,Estrogen,-1.4455240442687418,0.021538461538461538
Oud_Vs_Control_Male,DESeq2_Compatible,MAPK,-1.2596595306056777,0.06285072951739619
Oud_Vs_Control_Male,DESeq2_Compatible,NFkB,-1.2688310359219517,0.08166666666666667
Oud_Vs_Control_Male,DESeq2_Compatible,PI3K,-1.2915155522009334,0.08166666666666667
Oud_Vs_Control_Male,DESeq2_Compatible,TGFb,-1.362010063808788,0.08974358974358976
Oud_Vs_Control_Male,DESeq2_Compatible,VEGF,-1.4085864159411319,0.021538461538461538
