pathway1,pathway2,similarity
WP_CORI_CYCLE,WP_AEROBIC_GLYCOLYSIS,0.8333333333333334
WP_METABOLIC_EPILEPTIC_DISORDERS,WP_GLYCOLYSIS_AND_GLUCONEOGENESIS,0.7222222222222222
WP_CORI_CYCLE,WP_AEROBIC_GLYCOLYSIS_AUGMENTED,0.8333333333333334
WP_INFLUENCE_OF_LAMINOPATHIES_ON_WNT_SIGNALING,WP_OVERLAP_BETWEEN_SIGNAL_TRANSDUCTION_PATHWAYS_CONTRIBUTING_TO_LMNA_LAMINOPATHIES,0.7142857142857143
WP_OVERLAP_BETWEEN_SIGNAL_TRANSDUCTION_PATHWAYS_CONTRIBUTING_TO_LMNA_LAMINOPATHIES,WP_INFLUENCE_OF_LAMINOPATHIES_ON_WNT_SIGNALING,0.7142857142857143
WP_TOLLLIKE_RECEPTOR_SIGNALING_RELATED_TO_MYD88,WP_APOE_AND_MIR146_IN_INFLAMMATION_AND_ATHEROSCLEROSIS,0.8
WP_PROSTAGLANDIN_AND_LEUKOTRIENE_METABOLISM_IN_SENESCENCE_WP5122,WP_PROSTAGLANDIN_AND_LEUKOTRIENE_METABOLISM_IN_SENESCENCE_WP5321,0.8888888888888888
WP_AEROBIC_GLYCOLYSIS,WP_CORI_CYCLE,0.8333333333333334
WP_AEROBIC_GLYCOLYSIS_AUGMENTED,WP_CORI_CYCLE,0.8333333333333334
WP_GLYCOLYSIS_AND_GLUCONEOGENESIS,WP_METABOLIC_EPILEPTIC_DISORDERS,0.7222222222222222
WP_PROSTAGLANDIN_AND_LEUKOTRIENE_METABOLISM_IN_SENESCENCE_WP5321,WP_PROSTAGLANDIN_AND_LEUKOTRIENE_METABOLISM_IN_SENESCENCE_WP5122,0.8888888888888888
WP_TRANSCRIPTION_FACTOR_REGULATION_IN_ADIPOGENESIS,WP_TRANSCRIPTIONAL_CASCADE_REGULATING_ADIPOGENESIS,0.75
WP_LEUKOCYTEINTRINSIC_HIPPO_PATHWAY_FUNCTIONS,WP_HIPPOYAP_SIGNALING,0.7142857142857143
WP_HIPPOYAP_SIGNALING,WP_LEUKOCYTEINTRINSIC_HIPPO_PATHWAY_FUNCTIONS,0.7142857142857143
WP_NEURAL_CREST_CELL_MIGRATION_DURING_DEVELOPMENT,WP_NEURAL_CREST_CELL_MIGRATION_IN_CANCER,0.875
WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,WP_CHOLESTEROL_SYNTHESIS_DISORDERS,0.75
WP_TGFBETA_RECEPTOR_SIGNALING,WP_TGFBETA_RECEPTOR_SIGNALING_IN_SKELETAL_DYSPLASIAS,0.9
WP_MFAP5_EFFECT_ON_PERMEABILITY_AND_MOTILITY_OF_ENDOTHELIAL_CELLS_VIA_CYTOSKELETON_REARRANGEMENT,WP_MFAP5MEDIATED_OVARIAN_CANCER_CELL_MOTILITY_AND_INVASIVENESS,0.75
WP_NEURAL_CREST_CELL_MIGRATION_IN_CANCER,WP_NEURAL_CREST_CELL_MIGRATION_DURING_DEVELOPMENT,0.875
WP_MFAP5MEDIATED_OVARIAN_CANCER_CELL_MOTILITY_AND_INVASIVENESS,WP_MFAP5_EFFECT_ON_PERMEABILITY_AND_MOTILITY_OF_ENDOTHELIAL_CELLS_VIA_CYTOSKELETON_REARRANGEMENT,0.75
WP_MICRORNAS_IN_CARDIOMYOCYTE_HYPERTROPHY,WP_CARDIAC_HYPERTROPHIC_RESPONSE,0.7272727272727273
WP_TGFBETA_RECEPTOR_SIGNALING_IN_SKELETAL_DYSPLASIAS,WP_TGFBETA_RECEPTOR_SIGNALING,0.9
WP_CHOLESTEROL_SYNTHESIS_DISORDERS,WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,0.75
WP_APOE_AND_MIR146_IN_INFLAMMATION_AND_ATHEROSCLEROSIS,WP_TOLLLIKE_RECEPTOR_SIGNALING_RELATED_TO_MYD88,0.8
WP_SPHINGOLIPID_PATHWAY,WP_SYNTHESIS_OF_CERAMIDES_AND_1DEOXYCERAMIDES,0.75
WP_SYNTHESIS_OF_CERAMIDES_AND_1DEOXYCERAMIDES,WP_SPHINGOLIPID_PATHWAY,0.75
WP_SPHINGOLIPID_METABOLISM_INTEGRATED_PATHWAY,WP_SPHINGOLIPID_PATHWAY,0.75
WP_TRANSCRIPTIONAL_CASCADE_REGULATING_ADIPOGENESIS,WP_TRANSCRIPTION_FACTOR_REGULATION_IN_ADIPOGENESIS,0.75
WP_CARDIAC_HYPERTROPHIC_RESPONSE,WP_MICRORNAS_IN_CARDIOMYOCYTE_HYPERTROPHY,0.7272727272727273
WP_SPHINGOLIPID_PATHWAY,WP_SPHINGOLIPID_METABOLISM_INTEGRATED_PATHWAY,0.75
WP_DNA_DAMAGE_RESPONSE,WP_MIRNA_REGULATION_OF_DNA_DAMAGE_RESPONSE,0.8
WP_MIRNA_REGULATION_OF_DNA_DAMAGE_RESPONSE,WP_DNA_DAMAGE_RESPONSE,0.8
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,WP_OXIDATIVE_PHOSPHORYLATION,0.75
WP_OXIDATIVE_PHOSPHORYLATION,WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,0.75
